timestamp,position_valid,x,y,z,std,distance_r0,distance_r1,distance_r2,distance_r3,nsd_r0,nsd_r1,nsd_r2,nsd_r3,rssi_r0,rssi_r1,rssi_r2,rssi_r3,valid_r0,valid_r1,valid_r2,valid_r3
1733436754.2890253,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.88195037841797,-90.60955810546875,-85.61139678955078,-88.9673843383789,-122.14371490478516,-115.54396057128906,-110.0499267578125,-113.86837768554688,0,0,0,0
1733436754.4497142,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92121124267578,-90.52993774414062,-85.5926513671875,-88.88140106201172,-122.7879867553711,-114.86821746826172,-110.48578643798828,-113.49117279052734,0,0,0,0
1733436754.646923,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92121124267578,-90.52993774414062,-85.5926513671875,-88.88140106201172,-122.7879867553711,-114.86821746826172,-110.48578643798828,-113.49117279052734,0,0,0,0
1733436754.8525145,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92121124267578,-90.52993774414062,-85.5926513671875,-88.88140106201172,-122.7879867553711,-114.86821746826172,-110.48578643798828,-113.49117279052734,0,0,0,0
1733436755.0549805,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.25235748291016,-90.6978530883789,-85.6917724609375,-88.93742370605469,-122.90760803222656,-114.64981079101562,-109.72479248046875,-113.59961700439453,0,0,0,0
1733436755.2600577,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.25235748291016,-90.6978530883789,-85.6917724609375,-88.93742370605469,-122.90760803222656,-114.64981079101562,-109.72479248046875,-113.59961700439453,0,0,0,0
1733436755.4527528,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.25235748291016,-90.6978530883789,-85.6917724609375,-88.93742370605469,-122.90760803222656,-114.64981079101562,-109.72479248046875,-113.59961700439453,0,0,0,0
1733436755.6619155,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.54586029052734,-90.53218841552734,-85.43148040771484,-88.81698608398438,-122.73162078857422,-115.10005950927734,-110.1656494140625,-114.01598358154297,0,0,0,0
1733436755.8545175,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.54586029052734,-90.53218841552734,-85.43148040771484,-88.81698608398438,-122.73162078857422,-115.10005950927734,-110.1656494140625,-114.01598358154297,0,0,0,0
1733436756.0532124,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.82791900634766,-90.5429916381836,-85.58795166015625,-89.00756072998047,-122.91739654541016,-115.32682800292969,-110.54232788085938,-114.1280517578125,0,0,0,0
1733436756.254525,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.82791900634766,-90.5429916381836,-85.58795166015625,-89.00756072998047,-122.91739654541016,-115.32682800292969,-110.54232788085938,-114.1280517578125,0,0,0,0
1733436756.4593997,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.82791900634766,-90.5429916381836,-85.58795166015625,-89.00756072998047,-122.91739654541016,-115.32682800292969,-110.54232788085938,-114.1280517578125,0,0,0,0
1733436756.6602936,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.80619049072266,-90.59530639648438,-85.43843078613281,-88.9660873413086,-123.45152282714844,-115.53048706054688,-110.55986022949219,-113.83431243896484,0,0,0,0
1733436756.854921,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.80619049072266,-90.59530639648438,-85.43843078613281,-88.9660873413086,-123.45152282714844,-115.53048706054688,-110.55986022949219,-113.83431243896484,0,0,0,0
1733436757.0575693,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65454864501953,-90.56473541259766,-85.56178283691406,-89.10372924804688,-122.4661636352539,-114.84420776367188,-109.95521545410156,-113.82076263427734,0,0,0,0
1733436757.2692375,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65454864501953,-90.56473541259766,-85.56178283691406,-89.10372924804688,-122.4661636352539,-114.84420776367188,-109.95521545410156,-113.82076263427734,0,0,0,0
1733436757.4607005,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.97582244873047,-90.4017105102539,-85.57023620605469,-88.95421600341797,-122.81854248046875,-115.4024887084961,-110.11345672607422,-113.89006805419922,0,0,0,0
1733436757.6571648,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.97582244873047,-90.4017105102539,-85.57023620605469,-88.95421600341797,-122.81854248046875,-115.4024887084961,-110.11345672607422,-113.89006805419922,0,0,0,0
1733436757.8578913,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.97582244873047,-90.4017105102539,-85.57023620605469,-88.95421600341797,-122.81854248046875,-115.4024887084961,-110.11345672607422,-113.89006805419922,0,0,0,0
1733436758.0582716,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.4483871459961,-90.56593322753906,-85.69113159179688,-89.16944885253906,-122.29763793945312,-115.05435180664062,-110.0990219116211,-112.84053039550781,0,0,0,0
1733436758.2673397,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.4483871459961,-90.56593322753906,-85.69113159179688,-89.16944885253906,-122.29763793945312,-115.05435180664062,-110.0990219116211,-112.84053039550781,0,0,0,0
1733436758.462616,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.29231262207031,-90.44491577148438,-85.46924591064453,-88.83086395263672,-123.04386138916016,-115.2871322631836,-110.26677703857422,-113.58042907714844,0,0,0,0
1733436758.663653,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.29231262207031,-90.44491577148438,-85.46924591064453,-88.83086395263672,-123.04386138916016,-115.2871322631836,-110.26677703857422,-113.58042907714844,0,0,0,0
1733436758.8663006,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.29231262207031,-90.44491577148438,-85.46924591064453,-88.83086395263672,-123.04386138916016,-115.2871322631836,-110.26677703857422,-113.58042907714844,0,0,0,0
1733436759.0634782,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.69384765625,-90.5934829711914,-85.6772232055664,-89.0455322265625,-122.7177505493164,-115.48914337158203,-110.677734375,-113.6753921508789,0,0,0,0
1733436759.2616067,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.69384765625,-90.5934829711914,-85.6772232055664,-89.0455322265625,-122.7177505493164,-115.48914337158203,-110.677734375,-113.6753921508789,0,0,0,0
1733436759.4636326,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.8372802734375,-90.58104705810547,-85.44305419921875,-88.9142837524414,-122.57538604736328,-115.0594253540039,-110.45854949951172,-113.6102294921875,0,0,0,0
1733436759.6649492,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.8372802734375,-90.58104705810547,-85.44305419921875,-88.9142837524414,-122.57538604736328,-115.0594253540039,-110.45854949951172,-113.6102294921875,0,0,0,0
1733436759.8648722,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.8372802734375,-90.58104705810547,-85.44305419921875,-88.9142837524414,-122.57538604736328,-115.0594253540039,-110.45854949951172,-113.6102294921875,0,0,0,0
1733436760.0633855,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65150451660156,-90.44091033935547,-85.56324768066406,-88.81871032714844,-122.43276977539062,-115.20281219482422,-110.66355895996094,-113.76099395751953,0,0,0,0
1733436760.2676136,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65150451660156,-90.44091033935547,-85.56324768066406,-88.81871032714844,-122.43276977539062,-115.20281219482422,-110.66355895996094,-113.76099395751953,0,0,0,0
1733436760.4647925,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92054748535156,-90.3669204711914,-85.52644348144531,-88.64312744140625,-122.48664093017578,-115.39226531982422,-110.712646484375,-113.87103271484375,0,0,0,0
1733436760.6685553,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92054748535156,-90.3669204711914,-85.52644348144531,-88.64312744140625,-122.48664093017578,-115.39226531982422,-110.712646484375,-113.87103271484375,0,0,0,0
1733436760.8621616,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.92054748535156,-90.3669204711914,-85.52644348144531,-88.64312744140625,-122.48664093017578,-115.39226531982422,-110.712646484375,-113.87103271484375,0,0,0,0
1733436761.069784,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.46244812011719,-90.44639587402344,-85.5796890258789,-88.85098266601562,-123.14006042480469,-115.30815124511719,-110.5212631225586,-113.6644287109375,0,0,0,0
1733436761.2728543,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.46244812011719,-90.44639587402344,-85.5796890258789,-88.85098266601562,-123.14006042480469,-115.30815124511719,-110.5212631225586,-113.6644287109375,0,0,0,0
1733436761.4662118,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.63450622558594,-90.46382904052734,-85.44804382324219,-88.84767150878906,-122.49485778808594,-115.86959075927734,-110.86972045898438,-114.54444122314453,0,0,0,0
1733436761.663713,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.63450622558594,-90.46382904052734,-85.44804382324219,-88.84767150878906,-122.49485778808594,-115.86959075927734,-110.86972045898438,-114.54444122314453,0,0,0,0
1733436761.8667362,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.63450622558594,-90.46382904052734,-85.44804382324219,-88.84767150878906,-122.49485778808594,-115.86959075927734,-110.86972045898438,-114.54444122314453,0,0,0,0
1733436762.0635936,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.74723052978516,-90.5225830078125,-85.71488189697266,-88.96900177001953,-122.81426239013672,-115.8651351928711,-110.96343994140625,-114.52384185791016,0,0,0,0
1733436762.2750375,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.74723052978516,-90.5225830078125,-85.71488189697266,-88.96900177001953,-122.81426239013672,-115.8651351928711,-110.96343994140625,-114.52384185791016,0,0,0,0
1733436762.4658122,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65501403808594,-90.45954132080078,-85.57917022705078,-88.90771484375,-122.24540710449219,-114.67369079589844,-109.56390380859375,-113.0613784790039,0,0,0,0
1733436762.6656737,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65501403808594,-90.45954132080078,-85.57917022705078,-88.90771484375,-122.24540710449219,-114.67369079589844,-109.56390380859375,-113.0613784790039,0,0,0,0
1733436762.8675985,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.65501403808594,-90.45954132080078,-85.57917022705078,-88.90771484375,-122.24540710449219,-114.67369079589844,-109.56390380859375,-113.0613784790039,0,0,0,0
1733436763.074308,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.8232650756836,-90.59336853027344,-85.63871002197266,-89.09510803222656,-122.65756225585938,-115.6986083984375,-110.61344146728516,-114.03306579589844,0,0,0,0
1733436763.2685301,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.8232650756836,-90.59336853027344,-85.63871002197266,-89.09510803222656,-122.65756225585938,-115.6986083984375,-110.61344146728516,-114.03306579589844,0,0,0,0
1733436763.4664829,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.44746398925781,-90.48192596435547,-85.3968734741211,-88.78048706054688,-123.10663604736328,-115.05545043945312,-110.09776306152344,-113.07764434814453,0,0,0,0
1733436763.665212,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.44746398925781,-90.48192596435547,-85.3968734741211,-88.78048706054688,-123.10663604736328,-115.05545043945312,-110.09776306152344,-113.07764434814453,0,0,0,0
1733436763.8670015,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.44746398925781,-90.48192596435547,-85.3968734741211,-88.78048706054688,-123.10663604736328,-115.05545043945312,-110.09776306152344,-113.07764434814453,0,0,0,0
1733436764.0867252,False,-1.2729530334472656,1.570098876953125,0.3768656849861145,100,-1,-1,-1,-1,-98.70243072509766,-90.58489227294922,-85.61827850341797,-89.12677764892578,-122.56196594238281,-115.4913330078125,-110.8533935546875,-113.82606506347656,0,0,0,0
