timestamp,lat,lon,orientation,fix_quality,hdop,numsats,cog,sog
1733436754.3371315,48.684827928333334,-123.19206392333334,52.5,2,0.8,24,0,0
1733436755.4720094,48.684828081666666,-123.19206343,53.8,2,0.7,25,0,0
1733436755.6812344,48.684828081666666,-123.19206343,53.8,2,0.7,25,0,0
1733436755.8792906,48.684828081666666,-123.19206343,53.8,2,0.7,25,0,0
1733436756.0700946,48.684828081666666,-123.19206343,53.8,2,0.7,25,0,0
1733436756.283505,48.684828081666666,-123.19206343,53.8,2,0.7,25,0,0
1733436756.4776835,48.68482806833333,-123.19206356,53.9,2,0.7,25,0,0
1733436756.6852055,48.68482806833333,-123.19206356,53.9,2,0.7,25,0,0
1733436756.8706737,48.68482806833333,-123.19206356,53.9,2,0.7,25,0,0
1733436757.079086,48.68482806833333,-123.19206356,54,2,0.7,25,0,0
1733436757.3005178,48.68482806833333,-123.19206356,54,2,0.7,25,0,0
1733436757.4830463,48.68482823,-123.192063455,53.9,2,0.7,25,0,0
1733436757.6742249,48.68482823,-123.192063455,53.9,2,0.7,25,0,0
1733436757.8816943,48.68482823,-123.192063455,53.9,2,0.7,25,0,0
1733436758.075761,48.68482823,-123.192063455,53.7,2,0.7,25,0,0
1733436758.2941053,48.68482823,-123.192063455,53.7,2,0.7,25,0,0
1733436758.4807239,48.68482792166667,-123.19206334833333,53.8,2,0.7,25,0,0
1733436758.683273,48.68482792166667,-123.19206334833333,53.8,2,0.7,25,0,0
1733436758.888244,48.68482792166667,-123.19206334833333,53.8,2,0.7,25,0,0
1733436759.0902643,48.68482792166667,-123.19206334833333,53.9,2,0.7,25,0,0
1733436759.2785132,48.68482792166667,-123.19206334833333,53.9,2,0.7,25,0,0
1733436759.4909832,48.68482815833333,-123.19206354833334,53.8,2,0.7,25,0,0
1733436759.6816783,48.68482815833333,-123.19206354833334,53.8,2,0.7,25,0,0
1733436759.8837907,48.68482815833333,-123.19206354833334,53.8,2,0.7,25,0,0
1733436760.0812416,48.68482815833333,-123.19206354833334,53.7,2,0.7,25,0,0
1733436760.2857902,48.68482815833333,-123.19206354833334,53.7,2,0.7,25,0,0
1733436760.487664,48.68482790666667,-123.19206339833333,53.6,2,0.7,25,0,0
1733436760.7051148,48.68482790666667,-123.19206339833333,53.6,2,0.7,25,0,0
1733436760.8828204,48.68482790666667,-123.19206339833333,53.6,2,0.7,25,0,0
1733436761.086315,48.68482790666667,-123.19206339833333,53.7,2,0.7,25,0,0
1733436761.3143344,48.68482790666667,-123.19206339833333,53.7,2,0.7,25,0,0
1733436761.4810355,48.68482815,-123.19206373666667,53.7,2,0.7,25,0,0
1733436761.6908586,48.68482815,-123.19206373666667,53.7,2,0.7,25,0,0
1733436761.8849895,48.68482815,-123.19206373666667,53.7,2,0.7,25,0,0
1733436762.0841784,48.68482815,-123.19206373666667,53.5,2,0.7,25,0,0
1733436762.2986965,48.68482815,-123.19206373666667,53.5,2,0.7,25,0,0
1733436762.489756,48.68482797833333,-123.192063555,53.39999999999999,2,0.7,25,0,0
1733436762.682911,48.68482797833333,-123.192063555,53.39999999999999,2,0.7,25,0,0
1733436762.898563,48.68482797833333,-123.192063555,53.39999999999999,2,0.7,25,0,0
1733436763.0927606,48.68482797833333,-123.192063555,53.39999999999999,2,0.7,25,0,0
1733436763.2920976,48.68482797833333,-123.192063555,53.39999999999999,2,0.7,25,0,0
1733436763.4854655,48.684827936666665,-123.19206371,53.39999999999999,2,0.8,25,0,0
1733436763.6816034,48.684827936666665,-123.19206371,53.39999999999999,2,0.8,25,0,0
1733436763.883913,48.684827936666665,-123.19206371,53.39999999999999,2,0.8,25,0,0
1733436764.1111817,48.684827936666665,-123.19206371,53.39999999999999,2,0.8,25,0,0
1733436764.2885885,48.684827936666665,-123.19206371,53.39999999999999,2,0.8,25,0,0
1733436764.493813,48.684828053333334,-123.19206367666666,53.2,2,0.8,25,0,0
1733436764.687284,48.684828053333334,-123.19206367666666,53.2,2,0.8,25,0,0
1733436764.8930492,48.684828053333334,-123.19206367666666,53.2,2,0.8,25,0,0
1733436765.090549,48.684828053333334,-123.19206367666666,53.099999999999994,2,0.8,25,0,0
1733436765.301251,48.684828053333334,-123.19206367666666,53.099999999999994,2,0.8,25,0,0
1733436765.4901886,48.684827868333336,-123.19206371166666,53.2,2,0.7,26,0,0
1733436765.7008607,48.684827868333336,-123.19206371166666,53.2,2,0.7,26,0,0
1733436765.8917868,48.684827868333336,-123.19206371166666,53.099999999999994,2,0.7,26,0,0
1733436766.0944133,48.684827868333336,-123.19206371166666,53.099999999999994,2,0.7,26,0,0
1733436766.2954364,48.684827868333336,-123.19206371166666,53.099999999999994,2,0.7,26,0,0
1733436766.49617,48.684828038333336,-123.19206389666667,53.099999999999994,2,0.7,26,0,0
1733436766.6878684,48.684828038333336,-123.19206389666667,53.099999999999994,2,0.7,26,0,0
1733436766.8915691,48.684828038333336,-123.19206389666667,53.099999999999994,2,0.7,26,0,0
1733436767.0980513,48.684828038333336,-123.19206389666667,53,2,0.7,26,0,0
1733436767.3032074,48.684828038333336,-123.19206389666667,53,2,0.7,26,0,0
1733436767.5033784,48.68482774833333,-123.19206368,52.9,2,0.7,26,0,0
1733436767.6886406,48.68482774833333,-123.19206368,52.9,2,0.7,26,0,0
1733436767.8959222,48.68482774833333,-123.19206368,52.9,2,0.7,26,0,0
1733436768.0923514,48.68482774833333,-123.19206368,53,2,0.7,26,0,0
1733436768.3151035,48.68482774833333,-123.19206368,53,2,0.7,26,0,0
1733436768.4897356,48.684827973333334,-123.19206390333333,53,2,0.7,25,0,0
1733436768.7147877,48.684827973333334,-123.19206390333333,53,2,0.7,25,0,0
1733436768.8925579,48.684827973333334,-123.19206390333333,53,2,0.7,25,0,0
1733436769.1021552,48.684827973333334,-123.19206390333333,53,2,0.7,25,0,0
1733436769.3025985,48.684827973333334,-123.19206390333333,53,2,0.7,25,0,0
1733436769.5056343,48.68482777333333,-123.19206381666666,53,2,0.7,25,0,0
1733436769.697259,48.68482777333333,-123.19206381666666,53,2,0.7,25,0,0
1733436769.903684,48.68482777333333,-123.19206381666666,53,2,0.7,25,0,0
1733436770.094251,48.68482777333333,-123.19206381666666,53,2,0.7,25,0,0
1733436770.295332,48.68482777333333,-123.19206381666666,53,2,0.7,25,0,0
