timestamp,heading
1733436754.344343,53.9
1733436754.427553,53.9
1733436754.5510921,53.9
1733436754.677239,53.9
1733436754.8019812,53.9
1733436754.9278097,53.9
1733436755.0616238,53.8
1733436755.1777985,53.8
1733436755.3018227,53.7
1733436755.4270551,53.7
1733436755.5530074,53.7
1733436755.6770713,53.8
1733436755.8046255,53.8
1733436755.9289188,53.8
1733436756.060948,53.9
1733436756.177537,53.9
1733436756.302117,53.9
1733436756.4267023,54.0
1733436756.5526688,54.0
1733436756.6758292,54.0
1733436756.8007402,53.9
1733436756.9256208,53.9
1733436757.0639818,53.9
1733436757.1760092,53.9
1733436757.3076386,53.8
1733436757.4246838,53.8
1733436757.5503438,53.8
1733436757.6788356,53.7
1733436757.8004355,53.8
1733436757.9240983,53.8
1733436758.0639782,53.8
1733436758.174617,53.8
1733436758.3062627,53.8
1733436758.424925,53.8
1733436758.5498464,53.8
1733436758.6761053,53.9
1733436758.7986445,53.8
1733436758.9245448,53.8
1733436759.0736668,53.8
1733436759.172361,53.8
1733436759.2974808,53.8
1733436759.423869,53.7
1733436759.5470114,53.7
1733436759.6727884,53.7
1733436759.7959898,53.6
1733436759.922611,53.6
1733436760.0547898,53.6
1733436760.1722078,53.6
1733436760.2958443,53.6
1733436760.421672,53.6
1733436760.5482376,53.6
1733436760.675381,53.7
1733436760.796639,53.7
1733436760.9210758,53.7
1733436761.05562,53.7
1733436761.1712363,53.7
1733436761.2949388,53.7
1733436761.4210474,53.6
1733436761.5444605,53.6
1733436761.671833,53.5
1733436761.7941635,53.5
1733436761.9231935,53.4
1733436762.05177,53.4
1733436762.1697593,53.4
1733436762.2942195,53.4
1733436762.4197814,53.4
1733436762.5432281,53.4
1733436762.6699522,53.4
1733436762.7930562,53.4
1733436762.9197915,53.4
1733436763.0544205,53.4
1733436763.16842,53.4
1733436763.296201,53.4
1733436763.4188867,53.4
1733436763.541837,53.4
1733436763.669542,53.4
1733436763.7924652,53.3
1733436763.9178412,53.3
1733436764.056559,53.3
1733436764.1668806,53.2
1733436764.2931635,53.2
1733436764.4178092,53.1
1733436764.5422199,53.1
1733436764.6691067,53.1
1733436764.7920156,53.1
1733436764.915691,53.1
1733436765.050837,53.1
1733436765.1668324,53.2
1733436765.2897909,53.2
1733436765.415584,53.1
1733436765.5404127,53.1
1733436765.6653786,53.1
1733436765.7908773,53.2
1733436765.9165337,53.2
1733436766.0480423,53.1
1733436766.1660552,53.1
1733436766.2897065,53.0
1733436766.414488,53.0
1733436766.5406623,53.0
1733436766.66407,53.0
1733436766.7889314,53.0
1733436766.9150522,52.9
1733436767.0466924,52.9
1733436767.1648881,52.9
1733436767.2889438,52.9
1733436767.4148815,52.9
1733436767.5373375,53.0
1733436767.6653044,53.0
1733436767.7922432,53.0
1733436767.91469,53.0
1733436768.0459921,53.0
1733436768.1638722,53.0
1733436768.2881985,53.0
1733436768.4134874,53.0
1733436768.5364933,53.0
1733436768.6665351,53.0
1733436768.7874265,53.0
1733436768.9118567,52.9
1733436769.051809,52.9
1733436769.1627886,53.0
1733436769.2884388,52.9
1733436769.4113894,53.0
1733436769.5372279,53.0
1733436769.662665,53.0
1733436769.787658,53.0
1733436769.9118588,53.0
1733436770.0440881,53.0
1733436770.1610172,53.0
1733436770.2857804,53.1
1733436770.4125621,53.1
1733436770.5361197,53.1
1733436770.6644225,53.1
1733436770.7849486,53.1
1733436770.9114256,53.1
1733436771.0423174,53.1
1733436771.1618967,53.1
1733436771.2850604,53.1
1733436771.4110157,53.0
1733436771.5343914,53.0
1733436771.6643143,53.0
1733436771.7843766,53.0
1733436771.910828,53.0
1733436772.0428517,53.1
1733436772.1599736,53.1
1733436772.2844493,53.1
1733436772.4096336,53.1
1733436772.5339937,53.1
1733436772.6597056,53.1
1733436772.78488,53.1
1733436772.90918,53.1
1733436773.0442739,53.0
1733436773.159702,53.0
1733436773.2852602,53.1
1733436773.409133,53.0
1733436773.5324864,53.0
1733436773.6582975,53.0
1733436773.7836556,53.0
1733436773.9076483,53.0
1733436774.041591,53.0
1733436774.1571655,53.1
1733436774.2865686,53.1
1733436774.4079742,53.1
1733436774.5353925,53.1
1733436774.657683,53.1
1733436774.7834837,53.1
1733436774.9073963,53.1
1733436775.0395074,53.1
1733436775.1573527,53.1
1733436775.2814126,53.1
1733436775.4069035,53.1
1733436775.5338862,53.1
1733436775.6577804,53.1
1733436775.7808251,53.2
1733436775.9083693,53.2
1733436776.0414631,53.2
1733436776.1562634,53.2
1733436776.2831774,53.2
1733436776.4060698,53.3
1733436776.5323598,53.2
1733436776.6557896,53.2
1733436776.7817047,53.2
1733436776.9068153,53.2
1733436777.0394166,53.2
1733436777.155901,53.2
1733436777.2811837,53.2
1733436777.4075613,53.2
1733436777.5291448,53.3
1733436777.6582336,53.3
1733436777.7790124,53.3
1733436777.905968,53.3
1733436778.038191,53.3
1733436778.1556768,53.4
1733436778.2791212,53.4
1733436778.405091,53.4
1733436778.5290768,53.4
1733436778.655807,53.4
1733436778.779508,53.4
1733436778.9053364,53.3
1733436779.036648,53.3
1733436779.155599,53.3
1733436779.2788606,53.4
1733436779.4048586,53.4
1733436779.5293071,53.4
1733436779.6545281,53.4
1733436779.7774453,53.4
1733436779.9051976,53.4
1733436780.0379689,53.4
1733436780.153776,53.4
1733436780.2822134,53.4
1733436780.4038308,53.4
1733436780.5276043,53.4
1733436780.656196,53.5
1733436780.7772942,53.5
1733436780.9035053,53.5
1733436781.0352597,53.5
1733436781.152996,53.4
1733436781.276965,53.4
1733436781.4038281,53.4
1733436781.5282373,53.4
1733436781.6533146,53.4
1733436781.776837,53.4
1733436781.9030411,53.5
1733436782.0353103,53.5
1733436782.1536274,53.6
1733436782.2794118,53.6
1733436782.40183,53.6
1733436782.5297885,53.6
1733436782.6518545,53.6
1733436782.7772038,53.6
1733436782.9010537,53.6
1733436783.0365763,53.6
1733436783.1529229,53.6
1733436783.27592,53.6
1733436783.401647,53.5
1733436783.5282137,53.5
1733436783.6516426,53.6
1733436783.7778404,53.6
1733436783.904231,53.6
1733436784.0342925,53.6
1733436784.1503012,53.6
1733436784.2757027,53.7
1733436784.4006507,53.7
1733436784.5269547,53.7
1733436784.657598,53.7
1733436784.7762406,53.8
1733436784.900159,53.7
1733436785.034406,53.8
1733436785.1500795,53.8
1733436785.2748408,53.8
1733436785.4008381,53.8
1733436785.525543,53.8
1733436785.65037,53.8
1733436785.774711,53.8
1733436785.9007385,53.8
1733436786.03472,53.7
1733436786.150258,53.7
1733436786.2742236,53.7
1733436786.4003222,53.7
1733436786.5302594,53.7
1733436786.6511316,53.7
1733436786.7744474,53.7
1733436786.9026666,53.8
1733436787.0311477,53.9
1733436787.1507638,53.9
1733436787.2737274,54.0
1733436787.3996003,54.0
1733436787.5235853,54.0
1733436787.6499426,54.0
1733436787.7734492,54.0
1733436787.899222,53.9
1733436788.0316706,53.9
1733436788.1493533,53.8
1733436788.2740853,53.8
1733436788.3993971,53.8
1733436788.5225608,53.8
1733436788.6492743,53.9
1733436788.7729251,53.9
1733436788.8991904,54.0
1733436789.0315945,54.0
1733436789.1489832,54.0
1733436789.2734601,54.0
1733436789.3982944,54.0
1733436789.5226436,54.0
1733436789.648134,54.0
1733436789.7737927,54.0
1733436789.9011123,54.0
1733436790.032037,54.0
1733436790.1499138,54.0
1733436790.2738464,54.0
1733436790.3977711,54.0
1733436790.5217607,54.0
1733436790.6481674,54.0
1733436790.7722,54.1
1733436790.8971157,54.1
1733436791.0313528,54.1
1733436791.1467211,54.1
1733436791.2722104,54.1
1733436791.3969383,54.1
1733436791.523022,54.1
1733436791.6472607,54.1
1733436791.7720056,54.1
1733436791.8981586,54.2
1733436792.0318263,54.2
1733436792.1490662,54.2
1733436792.2711718,54.2
1733436792.39804,54.2
1733436792.5223894,54.3
1733436792.648241,54.3
1733436792.7719054,54.4
1733436792.897915,54.4
1733436793.0298889,54.4
1733436793.1459904,54.4
1733436793.2745383,54.4
1733436793.3958015,54.4
1733436793.5217292,54.3
1733436793.6454349,54.4
1733436793.773692,54.4
1733436793.8995063,54.3
1733436794.0288026,54.3
1733436794.1461327,54.3
1733436794.2738001,54.3
1733436794.3958478,54.3
1733436794.5234933,54.4
1733436794.6449752,54.4
1733436794.775352,54.4
1733436794.8948455,54.4
1733436795.0308528,54.5
1733436795.1467886,54.4
1733436795.2712905,54.5
1733436795.395713,54.5
1733436795.522295,54.5
1733436795.646005,54.5
1733436795.779299,54.6
1733436795.8973482,54.6
1733436796.0282228,54.6
1733436796.149,54.6
1733436796.2728586,54.6
1733436796.3954968,54.6
1733436796.5221403,54.7
1733436796.6434484,54.7
1733436796.769993,54.7
1733436796.8936377,54.7
1733436797.026979,54.8
1733436797.1453838,54.8
1733436797.2703815,54.8
1733436797.3936758,54.9
1733436797.5225232,54.9
1733436797.6434934,54.9
1733436797.7738645,54.9
1733436797.8936782,54.9
1733436798.0266602,54.9
1733436798.1440113,54.9
1733436798.2687666,54.9
1733436798.3939908,54.9
1733436798.5192428,54.9
1733436798.6451466,54.9
1733436798.7680647,54.9
1733436798.8973973,54.9
1733436799.0272388,55.0
1733436799.1462114,55.0
1733436799.2693884,55.0
1733436799.395106,55.0
