timestamp,utc,latitude,longitude,fix_quality,numsats,hdop,orthometric_height
1733436755.053696,221235.0,48.684828081666666,-123.19206343,2,25,0.7,1.381
1733436756.0579343,221236.0,48.68482806833333,-123.19206356,2,25,0.7,1.39
1733436757.0568507,221237.0,48.68482823,-123.192063455,2,25,0.7,1.38
1733436758.048695,221238.0,48.68482792166667,-123.19206334833333,2,25,0.7,1.388
1733436759.048707,221239.0,48.68482815833333,-123.19206354833334,2,25,0.7,1.381
1733436760.045851,221240.0,48.68482790666667,-123.19206339833333,2,25,0.7,1.395
1733436761.0527103,221241.0,48.68482815,-123.19206373666667,2,25,0.7,1.393
1733436762.0428312,221242.0,48.68482797833333,-123.192063555,2,25,0.7,1.397
1733436763.0434017,221243.0,48.684827936666665,-123.19206371,2,25,0.8,1.39
1733436764.040495,221244.0,48.684828053333334,-123.19206367666666,2,25,0.8,1.392
1733436765.0488088,221245.0,48.684827868333336,-123.19206371166666,2,26,0.7,1.382
1733436766.0384796,221246.0,48.684828038333336,-123.19206389666667,2,26,0.7,1.39
1733436767.037499,221247.0,48.68482774833333,-123.19206368,2,26,0.7,1.403
1733436768.0369396,221248.0,48.684827973333334,-123.19206390333333,2,25,0.7,1.402
1733436769.0445182,221249.0,48.68482777333333,-123.19206381666666,2,25,0.7,1.403
1733436770.0347166,221250.0,48.68482799833333,-123.19206397166667,2,25,0.7,1.414
1733436771.0339065,221251.0,48.684827903333336,-123.19206390833334,2,25,0.7,1.41
1733436772.0328507,221252.0,48.68482801166667,-123.19206402833333,2,25,0.7,1.414
1733436773.0393653,221253.0,48.68482794,-123.192063995,2,25,0.7,1.418
1733436774.0403264,221254.0,48.6848279,-123.19206391333333,2,25,0.8,1.419
1733436775.030553,221255.0,48.684828081666666,-123.19206404666667,2,25,0.8,1.426
1733436776.0375803,221256.0,48.68482788166666,-123.19206389333333,2,25,0.7,1.414
1733436777.0293572,221257.0,48.68482786333333,-123.19206394333334,2,26,0.7,1.412
1733436778.028784,221258.0,48.68482784,-123.192063975,2,26,0.7,1.42
1733436779.0300667,221259.0,48.68482786166667,-123.192063895,2,26,0.7,1.42
1733436780.0282786,221300.0,48.68482777333333,-123.192063815,2,24,0.8,1.424
1733436781.0262463,221301.0,48.68482776166667,-123.192063935,2,24,0.8,1.411
1733436782.0246105,221302.0,48.684827438333336,-123.19206381333333,2,24,0.8,1.427
1733436783.0326886,221303.0,48.684827766666665,-123.19206379833334,2,24,0.8,1.416
1733436784.0266728,221304.0,48.684827518333336,-123.19206371166666,2,24,0.8,1.428
1733436785.0309997,221305.0,48.684827563333336,-123.19206367666666,2,24,0.8,1.416
1733436786.0237937,221306.0,48.68482752166667,-123.19206375,2,25,0.8,1.416
1733436787.0227404,221307.0,48.68482747,-123.19206365666666,2,25,0.8,1.412
1733436788.0222328,221308.0,48.68482738833333,-123.19206358833334,2,25,0.7,1.417
1733436789.0209646,221309.0,48.68482731,-123.19206364833333,2,25,0.7,1.424
1733436790.0213835,221310.0,48.684827326666664,-123.19206348166666,2,25,0.7,1.416
1733436791.0209513,221311.0,48.68482725166667,-123.19206368333333,2,25,0.7,1.413
1733436792.0277421,221312.0,48.684827125,-123.192063435,2,25,0.7,1.422
1733436793.026017,221313.0,48.68482724333333,-123.19206369333334,2,25,0.8,1.427
1733436794.0190494,221314.0,48.684826941666664,-123.19206335333334,2,25,0.8,1.426
1733436795.0264754,221315.0,48.68482710666667,-123.19206359,2,26,0.8,1.442
1733436796.0198784,221316.0,48.68482689333333,-123.19206336,2,26,0.7,1.436
1733436797.019959,221317.0,48.68482684,-123.192063315,2,26,0.7,1.451
1733436798.0180385,221318.0,48.68482679666667,-123.192063405,2,25,0.7,1.455
1733436799.0172162,221319.0,48.68482682333333,-123.19206342,2,25,0.7,1.457
1733436800.0244095,221320.0,48.68482675166667,-123.19206347333333,2,25,0.7,1.453
1733436801.0162637,221321.0,48.68482668833333,-123.19206353,2,25,0.7,1.467
1733436802.0155594,221322.0,48.684826693333335,-123.19206349166667,2,25,0.7,1.465
1733436803.0185778,221323.0,48.684826675,-123.192063345,2,25,0.7,1.472
1733436804.0221803,221324.0,48.68482661833333,-123.19206346333333,2,25,0.8,1.471
1733436805.0226321,221325.0,48.684826578333336,-123.19206334666667,2,25,0.8,1.47
1733436806.0219834,221326.0,48.68482659833333,-123.19206336333333,2,25,0.7,1.48
1733436807.0144176,221327.0,48.68482660833333,-123.19206329166667,2,26,0.7,1.471
1733436808.0208492,221328.0,48.68482668666667,-123.192063205,2,26,0.7,1.48
1733436809.013877,221329.0,48.684826685,-123.19206319833333,2,26,0.7,1.469
1733436810.0123336,221330.0,48.68482671,-123.19206311666667,2,25,0.7,1.479
1733436811.012954,221331.0,48.684826681666664,-123.192063115,2,25,0.7,1.472
1733436812.012933,221332.0,48.68482670833333,-123.19206301,2,25,0.7,1.47
1733436813.0205681,221333.0,48.684826568333335,-123.19206287666667,2,25,0.7,1.463
1733436814.01274,221334.0,48.684826535,-123.192062965,2,25,0.7,1.469
1733436815.015177,221335.0,48.68482678833333,-123.192062835,2,25,0.7,1.448
1733436816.0122678,221336.0,48.68482661833333,-123.19206285833333,2,25,0.7,1.456
1733436817.0113645,221337.0,48.68482671666666,-123.192062835,2,25,0.7,1.446
1733436818.0111408,221338.0,48.684826593333334,-123.19206281666666,2,25,0.7,1.46
1733436819.0182493,221339.0,48.68482653,-123.192062695,2,25,0.7,1.468
1733436820.0105572,221340.0,48.684826775,-123.192062945,2,25,0.7,1.458
1733436821.010867,221341.0,48.68482663,-123.19206265333334,2,25,0.7,1.464
1733436822.0096931,221342.0,48.684826695,-123.192062985,2,25,0.7,1.468
1733436823.0099194,221343.0,48.68482665333333,-123.19206266,2,25,0.8,1.461
1733436824.0091817,221344.0,48.684826585,-123.19206282666667,2,25,0.7,1.463
1733436825.0166543,221345.0,48.684826683333334,-123.19206279166667,2,25,0.7,1.456
1733436826.0089614,221346.0,48.684826523333335,-123.19206268666667,2,25,0.8,1.451
1733436827.0375466,221347.0,48.68482667666667,-123.19206287333333,2,25,0.8,1.456
1733436828.0159395,221348.0,48.68482662666667,-123.19206256666666,2,24,0.8,1.443
1733436829.008509,221349.0,48.684826675,-123.19206278333333,2,24,0.8,1.454
1733436830.009879,221350.0,48.68482688666667,-123.19206291166667,2,24,0.8,1.459
1733436831.015006,221351.0,48.68482663333333,-123.192062785,2,24,0.8,1.458
1733436832.0079885,221352.0,48.68482674333333,-123.19206305166666,2,24,0.8,1.468
1733436833.008853,221353.0,48.684826735,-123.19206278333333,2,24,0.8,1.456
1733436834.0140781,221354.0,48.6848267,-123.19206299333334,2,25,0.8,1.466
1733436835.0076985,221355.0,48.684826828333335,-123.19206279666666,2,25,0.8,1.46
1733436836.0081763,221356.0,48.68482686666667,-123.19206297166667,2,25,0.8,1.46
1733436837.0138752,221357.0,48.68482701,-123.19206274333334,2,25,0.8,1.463
1733436838.0173845,221358.0,48.684827041666665,-123.19206283666666,2,25,0.8,1.46
1733436839.0062485,221359.0,48.68482710666667,-123.19206288666666,2,25,0.8,1.461
1733436840.014077,221400.0,48.684827115,-123.19206292,2,24,0.8,1.459
1733436841.0064154,221401.0,48.684827135,-123.19206300166667,2,24,0.8,1.453
1733436842.0101693,221402.0,48.68482710833333,-123.19206282333333,2,24,0.8,1.449
1733436843.0071404,221403.0,48.68482722833333,-123.19206298166667,2,25,0.8,1.437
1733436844.0059988,221404.0,48.684827125,-123.192062855,2,25,0.8,1.419
1733436845.0057466,221405.0,48.684827245,-123.19206289166667,2,25,0.8,1.421
1733436846.0058312,221406.0,48.684827176666666,-123.19206306666666,2,25,0.8,1.422
1733436847.0132625,221407.0,48.68482714833333,-123.19206299166666,2,25,0.8,1.428
1733436848.0119734,221408.0,48.684827158333334,-123.19206307,2,25,0.8,1.434
1733436849.0074837,221409.0,48.68482721,-123.19206316833333,2,26,0.8,1.426
1733436850.0056372,221410.0,48.68482711833333,-123.19206302666667,2,26,0.8,1.424
1733436851.0150726,221411.0,48.68482693833333,-123.19206297166667,2,26,0.8,1.429
1733436852.016999,221412.0,48.684826978333334,-123.19206300833334,2,25,0.8,1.439
1733436853.006716,221413.0,48.68482694833333,-123.19206292333334,2,25,0.8,1.443
1733436854.0049791,221414.0,48.684827105,-123.19206308333334,2,25,0.8,1.451
1733436855.0048835,221415.0,48.68482704,-123.19206283166666,2,24,0.8,1.45
1733436856.0156755,221416.0,48.684827141666666,-123.192063125,2,24,0.8,1.451
1733436857.0130863,221417.0,48.684827166666665,-123.19206292166666,2,24,0.8,1.445
1733436858.0040908,221418.0,48.684827053333336,-123.19206297,2,25,0.8,1.449
1733436859.0048256,221419.0,48.68482724333333,-123.19206285333334,2,25,0.8,1.445
1733436860.0073538,221420.0,48.68482695833333,-123.19206299,2,25,0.8,1.457
1733436861.0040584,221421.0,48.68482721666667,-123.192063075,2,26,0.8,1.452
1733436862.0044494,221422.0,48.68482703833333,-123.19206305333333,2,26,0.8,1.445
1733436863.0039258,221423.0,48.684827088333336,-123.19206308,2,26,0.8,1.444
1733436864.0041344,221424.0,48.68482701666667,-123.19206295,2,24,0.8,1.437
1733436865.0104523,221425.0,48.68482726,-123.19206309166667,2,24,0.8,1.436
1733436866.0031145,221426.0,48.684827053333336,-123.19206300166667,2,24,0.8,1.431
1733436867.003986,221427.0,48.68482713833333,-123.19206308666666,2,24,0.8,1.429
1733436868.0100923,221428.0,48.684827088333336,-123.19206299,2,24,0.8,1.422
1733436869.0041392,221429.0,48.684826943333334,-123.19206297833334,2,24,0.8,1.432
1733436870.003047,221430.0,48.68482701333333,-123.19206293,2,25,0.8,1.427
1733436871.0040898,221431.0,48.684826998333335,-123.19206297666666,2,25,0.8,1.423
1733436872.0117648,221432.0,48.684826825,-123.19206294166666,2,25,0.8,1.427
