timestamp,distance [mm],confidence [%]
2022-08-15 09:57:40.916000,7908,100
2022-08-15 09:57:41.910000,6294,0
2022-08-15 09:57:41.966000,6347,0
2022-08-15 09:57:42.035000,6096,0
2022-08-15 09:57:42.105000,4495,0
2022-08-15 09:57:42.172000,4461,8
2022-08-15 09:57:42.244000,4048,0
2022-08-15 09:57:42.308000,4112,7
2022-08-15 09:57:42.366000,4143,16
2022-08-15 09:57:42.435000,4200,7
2022-08-15 09:57:42.485000,4245,7
2022-08-15 09:57:42.564000,4354,26
2022-08-15 09:57:42.625000,4422,24
2022-08-15 09:57:42.691000,4423,24
2022-08-15 09:57:42.769000,4400,21
2022-08-15 09:57:42.825000,4378,28
2022-08-15 09:57:42.894000,4233,22
2022-08-15 09:57:42.950000,4230,22
2022-08-15 09:57:43.021000,4129,39
2022-08-15 09:57:43.076000,4282,14
2022-08-15 09:57:43.158000,4279,6
2022-08-15 09:57:43.216000,4255,6
2022-08-15 09:57:43.289000,4201,13
2022-08-15 09:57:43.353000,4252,20
2022-08-15 09:57:43.420000,4229,20
2022-08-15 09:57:43.494000,4259,19
2022-08-15 09:57:43.546000,4188,20
2022-08-15 09:57:43.612000,4147,0
2022-08-15 09:57:43.685000,4122,8
2022-08-15 09:57:43.746000,4155,15
2022-08-15 09:57:43.819000,4201,24
2022-08-15 09:57:43.878000,4188,23
2022-08-15 09:57:43.965000,4208,23
2022-08-15 09:57:44.001000,4280,22
2022-08-15 09:57:44.089000,4244,24
2022-08-15 09:57:44.133000,4219,31
2022-08-15 09:57:44.211000,4239,29
2022-08-15 09:57:44.280000,4269,29
2022-08-15 09:57:44.332000,4319,22
2022-08-15 09:57:44.402000,4327,13
2022-08-15 09:57:44.557000,4357,13
2022-08-15 09:57:44.619000,4235,17
2022-08-15 09:57:44.683000,4247,8
2022-08-15 09:57:44.754000,4380,7
2022-08-15 09:57:44.839000,4347,16
2022-08-15 09:57:44.863000,4361,27
2022-08-15 09:57:44.943000,4422,25
2022-08-15 09:57:44.991000,4427,15
2022-08-15 09:57:45.064000,3979,17
2022-08-15 09:57:45.129000,4261,17
2022-08-15 09:57:45.219000,4343,8
2022-08-15 09:57:45.296000,4349,16
2022-08-15 09:57:45.369000,3752,0
