timestamp,distance [mm],confidence [%]
2022-08-15 11:30:29.531000,4425,9
2022-08-15 11:30:29.581000,4408,19
2022-08-15 11:30:30.578000,4393,10
2022-08-15 11:30:30.672000,4430,10
2022-08-15 11:30:30.699000,4414,10
2022-08-15 11:30:30.780000,4430,10
2022-08-15 11:30:30.852000,4417,9
2022-08-15 11:30:30.920000,4410,18
2022-08-15 11:30:30.966000,4401,18
2022-08-15 11:30:31.044000,4405,26
2022-08-15 11:30:31.105000,4469,19
2022-08-15 11:30:31.170000,4409,27
2022-08-15 11:30:31.230000,4349,38
2022-08-15 11:30:31.303000,4331,36
2022-08-15 11:30:31.374000,4380,27
2022-08-15 11:30:31.446000,4350,36
2022-08-15 11:30:31.497000,4330,25
2022-08-15 11:30:31.569000,4192,24
2022-08-15 11:30:31.638000,4147,24
2022-08-15 11:30:31.692000,4115,17
2022-08-15 11:30:31.772000,4185,24
2022-08-15 11:30:31.819000,4060,25
2022-08-15 11:30:31.890000,4016,25
2022-08-15 11:30:31.955000,3967,17
2022-08-15 11:30:32.040000,3959,15
2022-08-15 11:30:32.089000,3926,15
2022-08-15 11:30:32.162000,4305,9
2022-08-15 11:30:32.218000,4227,9
2022-08-15 11:30:32.286000,4208,0
2022-08-15 11:30:32.362000,4257,0
2022-08-15 11:30:32.421000,4301,0
2022-08-15 11:30:32.493000,3862,0
2022-08-15 11:30:32.544000,4355,0
2022-08-15 11:30:32.615000,3874,0
2022-08-15 11:30:32.689000,3712,0
2022-08-15 11:30:32.750000,3787,0
2022-08-15 11:30:32.817000,3625,0
2022-08-15 11:30:32.887000,4074,0
2022-08-15 11:30:32.939000,3969,0
2022-08-15 11:30:33.020000,3864,0
2022-08-15 11:30:33.079000,4053,6
2022-08-15 11:30:33.152000,4042,15
2022-08-15 11:30:33.216000,3736,0
2022-08-15 11:30:33.289000,3535,0
2022-08-15 11:30:33.341000,3773,0
2022-08-15 11:30:33.418000,3846,0
2022-08-15 11:30:33.470000,3722,20
