timestamp,distance [mm],confidence [%]
2022-08-15 11:56:03.252000,4405,10
2022-08-15 11:56:03.274000,4396,10
2022-08-15 11:56:04.158000,4382,17
2022-08-15 11:56:04.228000,4398,17
2022-08-15 11:56:04.296000,4367,19
2022-08-15 11:56:04.344000,4384,20
2022-08-15 11:56:04.427000,4369,20
2022-08-15 11:56:04.485000,4381,14
2022-08-15 11:56:04.558000,4201,0
2022-08-15 11:56:04.608000,4428,7
2022-08-15 11:56:04.686000,4395,13
2022-08-15 11:56:04.746000,4405,6
2022-08-15 11:56:04.825000,4385,7
2022-08-15 11:56:04.874000,4120,0
2022-08-15 11:56:04.949000,4053,0
2022-08-15 11:56:05.004000,3994,0
2022-08-15 11:56:05.086000,3920,0
2022-08-15 11:56:05.136000,3845,0
2022-08-15 11:56:05.226000,3774,0
2022-08-15 11:56:05.320000,3896,0
2022-08-15 11:56:05.339000,3925,0
2022-08-15 11:56:05.410000,4287,0
2022-08-15 11:56:05.475000,4372,6
2022-08-15 11:56:05.549000,4448,0
2022-08-15 11:56:05.613000,4495,0
2022-08-15 11:56:05.679000,4110,0
2022-08-15 11:56:05.753000,4123,0
2022-08-15 11:56:05.813000,4170,0
2022-08-15 11:56:05.881000,4400,0
2022-08-15 11:56:05.938000,4277,0
2022-08-15 11:56:06.009000,4277,0
2022-08-15 11:56:06.076000,4303,0
2022-08-15 11:56:06.138000,4379,0
2022-08-15 11:56:06.237000,4288,0
2022-08-15 11:56:06.266000,4414,0
2022-08-15 11:56:06.342000,4429,7
2022-08-15 11:56:06.390000,4452,7
2022-08-15 11:56:06.464000,4475,7
2022-08-15 11:56:06.530000,4427,14
2022-08-15 11:56:06.594000,4437,16
2022-08-15 11:56:06.662000,4459,8
2022-08-15 11:56:06.736000,4475,6
2022-08-15 11:56:06.792000,4485,0
2022-08-15 11:56:06.858000,4425,0
2022-08-15 11:56:06.925000,4409,7
2022-08-15 11:56:07,3981,0
2022-08-15 11:56:07.056000,4197,0
2022-08-15 11:56:07.138000,4106,6
2022-08-15 11:56:07.188000,4004,6
2022-08-15 11:56:07.257000,3902,6
2022-08-15 11:56:07.315000,4009,0
2022-08-15 11:56:07.397000,3700,0
2022-08-15 11:56:07.447000,4355,0
2022-08-15 11:56:07.523000,3548,0
2022-08-15 11:56:07.580000,4364,0
2022-08-15 11:56:07.659000,4286,0
2022-08-15 11:56:07.716000,4347,9
2022-08-15 11:56:07.791000,4359,9
2022-08-15 11:56:07.851000,4395,10
2022-08-15 11:56:07.924000,4343,0
2022-08-15 11:56:07.985000,3893,0
2022-08-15 11:56:08.061000,4012,0
2022-08-15 11:56:08.111000,4237,0
2022-08-15 11:56:08.189000,4208,0
2022-08-15 11:56:08.240000,4127,0
2022-08-15 11:56:08.321000,4534,0
2022-08-15 11:56:08.378000,4566,0
2022-08-15 11:56:08.457000,3918,0
2022-08-15 11:56:08.502000,4572,0
2022-08-15 11:56:08.581000,4551,0
2022-08-15 11:56:08.637000,4557,0
2022-08-15 11:56:08.720000,4467,9
2022-08-15 11:56:08.780000,4469,0
2022-08-15 11:56:08.848000,4554,0
2022-08-15 11:56:08.898000,4513,0
2022-08-15 11:56:08.977000,4318,0
2022-08-15 11:56:09.032000,4530,0
2022-08-15 11:56:09.112000,4575,0
2022-08-15 11:56:09.165000,4591,0
2022-08-15 11:56:09.243000,4576,0
2022-08-15 11:56:09.316000,4443,0
2022-08-15 11:56:09.384000,4539,0
2022-08-15 11:56:09.430000,3724,0
2022-08-15 11:56:09.508000,4527,4
2022-08-15 11:56:09.567000,3799,0
2022-08-15 11:56:09.654000,4460,10
2022-08-15 11:56:09.705000,4445,10
2022-08-15 11:56:09.789000,4410,18
2022-08-15 11:56:09.826000,4391,13
2022-08-15 11:56:09.912000,4420,14
