"","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"1","8/15/2022","11:57:51","00:00:00",-0.1,64,53,47.6173858,-122.3603973,10,59.27,0.0166666666666667
"2","8/15/2022","11:57:52","00:00:01",-0.2,62,53,47.6173858,-122.3603973,10,59.18,0.0333333333333333
"3","8/15/2022","11:57:53","00:00:01",-0.5,61,53,47.6173858,-122.3603973,10,59.11,0.05
"4","8/15/2022","11:57:54","00:00:02",-0.5,67,53,47.6173858,-122.3603897,10,59,0.0666666666666667
"5","8/15/2022","11:57:55","00:00:03",-0.4,66,53,47.617382,-122.3603897,10,58.91,0.0833333333333333
"6","8/15/2022","11:57:56","00:00:04",-0.4,56,53,47.617382,-122.360382,10,58.8,0.1
"7","8/15/2022","11:57:57","00:00:05",-0.3,40,53,47.6173858,-122.3603744,10,58.69,0.116666666666667
"8","8/15/2022","11:57:58","00:00:07",-0.4,53,53,47.617382,-122.3603744,10,58.55,0.133333333333333
"9","8/15/2022","11:57:59","00:00:07",-0.1,64,53,47.6173858,-122.3603668,10,58.46,0.15
"10","8/15/2022","11:58:00","00:00:09",-0.2,62,53,47.617382,-122.3603668,10,58.35,0.166666666666667
"11","8/15/2022","11:58:01","00:00:10",-0.3,64,53,47.617382,-122.3603591,10,58.24,0.183333333333333
"12","8/15/2022","11:58:02","00:00:11",-0.4,54,53,47.617382,-122.3603591,10,58.17,0.2
"13","8/15/2022","11:58:03","00:00:12",-0.2,51,53,47.617382,-122.3603591,10,58.1,0.216666666666667
"14","8/15/2022","11:58:04","00:00:13",-0.1,50,53,47.617382,-122.3603515,10,58.03,0.233333333333333
"15","8/15/2022","11:58:05","00:00:14",-0.3,52,53,47.617382,-122.3603515,10,57.99,0.25
"16","8/15/2022","11:58:06","00:00:15",-0.3,47,53,47.6173858,-122.3603515,10,57.96,0.266666666666667
"17","8/15/2022","11:58:07","00:00:16",-0.4,49,53,47.617382,-122.3603515,10,57.9,0.283333333333333
"18","8/15/2022","11:58:08","00:00:17",-0.1,49,53,47.6173858,-122.3603439,10,57.88,0.3
"19","8/15/2022","11:58:09","00:00:18",-0.2,67,53,47.6173858,-122.3603439,10,57.85,0.316666666666667
"20","8/15/2022","11:58:10","00:00:19",-0.5,71,53,47.6173858,-122.3603439,10,57.81,0.333333333333333
"21","8/15/2022","11:58:11","00:00:20",-0.1,72,53,47.6173858,-122.3603439,10,57.76,0.35
"22","8/15/2022","11:58:12","00:00:21",-0.5,73,53,47.6173858,-122.3603439,10,57.72,0.366666666666667
"23","8/15/2022","11:58:13","00:00:22",-0.7,72,53,47.6173858,-122.3603439,10,57.7,0.383333333333333
"24","8/15/2022","11:58:14","00:00:23",-1.6,71,52,47.6173858,-122.3603439,10,57.65,0.4
"25","8/15/2022","11:58:15","00:00:24",-2.4,70,52,47.6173896,-122.3603439,10,57.65,0.416666666666667
"26","8/15/2022","11:58:16","00:00:25",-2.8,74,52,47.6173858,-122.3603439,10,57.58,0.433333333333333
"27","8/15/2022","11:58:17","00:00:26",-3.1,115,52,47.6173858,-122.3603439,10,57.54,0.45
"28","8/15/2022","11:58:18","00:00:27",-3.3,151,52,47.6173858,-122.3603439,10,57.51,0.466666666666667
"29","8/15/2022","11:58:19","00:00:28",-3.3,156,52,47.6173858,-122.3603439,10,57.47,0.483333333333333
"30","8/15/2022","11:58:20","00:00:29",-3.4,155,52,47.6173858,-122.3603515,10,57.43,0.5
"31","8/15/2022","11:58:21","00:00:30",-3.7,119,52,47.6173858,-122.3603515,10,57.4,0.516666666666667
"32","8/15/2022","11:58:22","00:00:31",-3.5,83,52,47.6173858,-122.3603439,10,57.34,0.533333333333333
"33","8/15/2022","11:58:23","00:00:32",-3.5,72,52,47.6173858,-122.3603439,10,57.27,0.55
"34","8/15/2022","11:58:24","00:00:33",-3.7,77,52,47.6173858,-122.3603439,10,57.25,0.566666666666667
"35","8/15/2022","11:58:25","00:00:34",-4.1,78,52,47.6173896,-122.3603439,10,57.2,0.583333333333333
"36","8/15/2022","11:58:26","00:00:35",-4.6,79,52,47.6173858,-122.3603439,10,57.16,0.6
"37","8/15/2022","11:58:27","00:00:36",-5.3,79,52,47.6173896,-122.3603439,10,57.11,0.616666666666667
"38","8/15/2022","11:58:28","00:00:37",-6.1,75,52,47.6173896,-122.3603439,10,57.06,0.633333333333333
"39","8/15/2022","11:58:29","00:00:38",-6.8,76,52,47.6173896,-122.3603439,10,57,0.65
"40","8/15/2022","11:58:30","00:00:39",-7.6,77,52,47.6173896,-122.3603439,10,56.95,0.666666666666667
"41","8/15/2022","11:58:31","00:00:40",-8.4,77,52,47.6173896,-122.3603439,10,56.89,0.683333333333333
"42","8/15/2022","11:58:32","00:00:41",-9,77,52,47.6173896,-122.3603515,10,56.8,0.7
"43","8/15/2022","11:58:33","00:00:42",-9.8,77,52,47.6173896,-122.3603515,10,56.75,0.716666666666667
"44","8/15/2022","11:58:34","00:00:43",-10.4,76,52,47.6173896,-122.3603515,10,56.68,0.733333333333333
"45","8/15/2022","11:58:35","00:00:44",-11.1,77,52,47.6173896,-122.3603515,10,56.61,0.75
"46","8/15/2022","11:58:36","00:00:45",-11.7,77,52,47.6173896,-122.3603515,10,56.55,0.766666666666667
"47","8/15/2022","11:58:37","00:00:46",-12.4,78,52,47.6173896,-122.3603515,10,56.46,0.783333333333333
"48","8/15/2022","11:58:38","00:00:47",-13,78,52,47.6173896,-122.3603515,10,56.37,0.8
"49","8/15/2022","11:58:39","00:00:48",-13.6,77,52,47.6173934,-122.3603515,10,56.34,0.816666666666667
"50","8/15/2022","11:58:40","00:00:49",-14.1,77,52,47.6173934,-122.3603591,10,56.23,0.833333333333333
"51","8/15/2022","11:58:41","00:00:50",-14.8,77,52,47.6173934,-122.3603591,10,56.16,0.85
"52","8/15/2022","11:58:42","00:00:51",-15.4,77,52,47.6173934,-122.3603591,10,56.12,0.866666666666667
"53","8/15/2022","11:58:43","00:00:52",-16,77,52,47.6173973,-122.3603668,10,56.07,0.883333333333333
"54","8/15/2022","11:58:44","00:00:53",-16.7,77,52,47.6173934,-122.3603668,10,55.98,0.9
