Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-08-15 10:49:12.738,3.7,6.9,13,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,0.0,2.3,-0.050,-0.151,0.000,0.0,00:00:00,--.--,0,--.--,--.--,--.--,38,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,3.54,3040,--.--,80,--.--,--:--:--,0,--.--,10:49:12,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,63.07,--.--,0,0,0.4,0.4,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:13.743,1.4,-1.4,12,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.1,2.2,-0.080,-0.113,0.000,0.0,00:00:00,--.--,0,--.--,--.--,--.--,43,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,5.07,3041,--.--,80,--.--,--:--:--,0,--.--,10:49:13,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,62.76,--.--,0,0,0.3,0.4,0.2,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:14.744,11.3,-9.0,29,0.0,0.0,0.0,0.0,0.0,0.000,-0.2,-0.2,2.1,-0.100,-0.086,0.000,0.0,00:00:01,--.--,0,--.--,--.--,--.--,45,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,5.39,3043,--.--,80,--.--,--:--:--,0,--.--,10:49:14,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,62.44,--.--,0,0,0.5,0.3,0.5,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:15.760,0.1,-1.6,35,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.5,1.8,-0.200,-0.314,0.000,0.0,00:00:02,--.--,0,--.--,--.--,--.--,53,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,8.15,3045,--.--,80,--.--,--:--:--,0,--.--,10:49:15,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,62.11,--.--,0,0,0.3,0.4,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:16.753,-2.3,0.3,53,0.0,0.0,0.0,0.0,0.0,0.000,0.3,-0.3,2.0,-0.130,-0.191,0.000,0.0,00:00:03,--.--,0,--.--,--.--,--.--,41,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,1.55,3046,--.--,80,--.--,--:--:--,0,--.--,10:49:16,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,61.74,--.--,0,0,0.1,0.1,0.1,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:17.747,1.5,-0.8,60,0.0,0.0,0.0,0.0,0.0,0.000,-0.1,-0.4,1.9,-0.160,-0.238,0.000,0.0,00:00:04,--.--,0,--.--,--.--,--.--,51,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,5.94,3047,--.--,80,--.--,--:--:--,0,--.--,10:49:17,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,61.43,--.--,0,0,0.3,0.3,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:18.754,1.9,-2.7,55,0.0,0.0,0.0,0.0,0.0,0.000,0.2,-0.3,1.9,-0.160,-0.233,0.000,0.0,00:00:06,--.--,0,--.--,--.--,--.--,49,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,7.62,3049,--.--,80,--.--,--:--:--,0,--.--,10:49:18,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,111.99,61.12,--.--,0,0,0.3,0.4,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:19.746,2.0,-3.8,59,0.0,0.0,0.0,0.0,0.0,0.000,0.1,-0.3,2.0,-0.130,-0.179,0.000,0.0,00:00:06,--.--,0,--.--,--.--,--.--,48,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,7.03,3051,--.--,80,--.--,--:--:--,0,--.--,10:49:19,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.01,60.84,--.--,0,0,0.4,0.5,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:20.748,-1.2,0.6,57,0.0,0.0,0.0,0.0,0.0,0.000,0.1,-0.2,2.1,-0.110,-0.121,0.000,0.0,00:00:07,--.--,0,--.--,--.--,--.--,44,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,4.71,3052,--.--,80,--.--,--:--:--,0,--.--,10:49:20,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.03,60.57,--.--,0,0,0.2,0.2,0.2,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:21.744,0.3,4.4,75,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.3,1.9,-0.160,-0.219,0.000,0.0,00:00:08,--.--,0,--.--,--.--,--.--,53,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,1.07,3052,--.--,80,--.--,--:--:--,0,--.--,10:49:21,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.03,60.26,--.--,0,0,0.1,0.1,0.1,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:22.753,1.4,1.0,71,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.3,2.0,-0.140,-0.192,0.000,0.0,00:00:10,--.--,0,--.--,--.--,--.--,52,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,6.90,3054,--.--,80,--.--,--:--:--,0,--.--,10:49:22,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.03,60.01,--.--,0,0,0.3,0.4,0.3,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:23.749,-0.5,-4.5,68,0.0,0.0,0.0,0.0,0.0,0.000,0.1,0.1,2.3,-0.030,0.023,0.000,0.0,00:00:11,--.--,0,--.--,--.--,--.--,36,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,5.19,3055,--.--,80,--.--,--:--:--,0,--.--,10:49:23,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.05,59.76,--.--,0,0,0.1,0.2,0.1,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:24.748,-1.2,0.3,66,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.1,2.1,-0.090,-0.098,0.000,0.0,00:00:12,--.--,0,--.--,--.--,--.--,45,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,2.16,3056,--.--,80,--.--,--:--:--,0,--.--,10:49:24,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.06,59.58,--.--,0,0,0.1,0.1,0.0,0,1,0,--.--,--.--,--.--
2022-08-15 10:49:25.746,-0.4,4.9,67,0.0,0.0,0.0,0.0,0.0,0.000,0.2,-0.3,1.9,-0.160,-0.231,0.000,0.0,00:00:13,--.--,0,--.--,--.--,--.--,50,0000:00:00,0,1,0,0,30,0,2,--.--,0,0,0,--.--,1.46,3056,--.--,80,--.--,--:--:--,0,--.--,10:49:25,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0.0000000,0.0000000,31NAA 66021 00000,100.0,0.0,0.0,1,0,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,112.06,59.38,--.--,0,0,0.0,0.1,0.1,0,1,0,--.--,--.--,--.--
