Timestamp,roll,pitch,heading,rollRate,pitchRate,yawRate,groundSpeed,airSpeed,airSpeedSetpoint,climbRate,altitudeRelative,altitudeAMSL,altitudeTuning,altitudeTuningSetpoint,xTrackError,flightDistance,flightTime,distanceToHome,missionItemIndex,headingToNextWP,headingToHome,distanceToGCS,throttlePct,hobbs,apmSubInfo.cameraTilt,apmSubInfo.tetherTurns,apmSubInfo.lights1,apmSubInfo.lights2,apmSubInfo.pilotGain,apmSubInfo.inputHold,apmSubInfo.rollPitchToggle,apmSubInfo.rangefinderDistance,battery0.id,battery0.batteryFunction,battery0.batteryType,battery0.voltage,battery0.current,battery0.mahConsumed,battery0.temperature,battery0.percentRemaining,battery0.timeRemaining,battery0.timeRemainingStr,battery0.chargeState,battery0.instantPower,clock.currentTime,clock.currentDate,distanceSensor.rotationNone,distanceSensor.rotationYaw45,distanceSensor.rotationYaw90,distanceSensor.rotationYaw135,distanceSensor.rotationYaw180,distanceSensor.rotationYaw225,distanceSensor.rotationYaw270,distanceSensor.rotationYaw315,distanceSensor.rotationPitch90,distanceSensor.rotationPitch270,distanceSensor.minDistance,distanceSensor.maxDistance,escStatus.index,escStatus.rpm1,escStatus.rpm2,escStatus.rpm3,escStatus.rpm4,escStatus.current1,escStatus.current2,escStatus.current3,escStatus.current4,escStatus.voltage1,escStatus.voltage2,escStatus.voltage3,escStatus.voltage4,estimatorStatus.goodAttitudeEsimate,estimatorStatus.goodHorizVelEstimate,estimatorStatus.goodVertVelEstimate,estimatorStatus.goodHorizPosRelEstimate,estimatorStatus.goodHorizPosAbsEstimate,estimatorStatus.goodVertPosAbsEstimate,estimatorStatus.goodVertPosAGLEstimate,estimatorStatus.goodConstPosModeEstimate,estimatorStatus.goodPredHorizPosRelEstimate,estimatorStatus.goodPredHorizPosAbsEstimate,estimatorStatus.gpsGlitch,estimatorStatus.accelError,estimatorStatus.velRatio,estimatorStatus.horizPosRatio,estimatorStatus.vertPosRatio,estimatorStatus.magRatio,estimatorStatus.haglRatio,estimatorStatus.tasRatio,estimatorStatus.horizPosAccuracy,estimatorStatus.vertPosAccuracy,gps.lat,gps.lon,gps.mgrs,gps.hdop,gps.vdop,gps.courseOverGround,gps.lock,gps.count,gps2.lat,gps2.lon,gps2.mgrs,gps2.hdop,gps2.vdop,gps2.courseOverGround,gps2.lock,gps2.count,hygrometer.temperature,hygrometer.humidity,hygrometer.hygrometerid,localPosition.x,localPosition.y,localPosition.z,localPosition.vx,localPosition.vy,localPosition.vz,localPositionSetpoint.x,localPositionSetpoint.y,localPositionSetpoint.z,localPositionSetpoint.vx,localPositionSetpoint.vy,localPositionSetpoint.vz,setpoint.roll,setpoint.pitch,setpoint.yaw,setpoint.rollRate,setpoint.pitchRate,setpoint.yawRate,temperature.temperature1,temperature.temperature2,temperature.temperature3,terrain.blocksPending,terrain.blocksLoaded,vibration.xAxis,vibration.yAxis,vibration.zAxis,vibration.clipCount1,vibration.clipCount2,vibration.clipCount3,wind.direction,wind.speed,wind.verticalSpeed
2022-08-15 11:57:51.149,2.5,2.0,64,0.0,0.0,0.0,0.0,0.0,0.000,-0.2,-0.1,6.3,-0.080,-0.049,0.000,0.0,00:00:00,0.8,0,--.--,--.--,--.--,35,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,11.51,7302,--.--,53,--.--,--:--:--,0,--.--,11:57:51,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603973,10TET 48063 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.2,1407.8,-0.2,0.6,0.1,0.3,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.30,59.27,--.--,0,0,0.4,0.3,0.4,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:52.143,3.5,-5.4,62,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.2,6.2,-0.110,-0.111,0.000,0.0,00:00:01,1.2,0,--.--,--.--,--.--,36,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,7.43,7304,--.--,53,--.--,--:--:--,0,--.--,11:57:52,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603973,10TET 48063 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1719.7,1407.6,-0.1,0.4,0.3,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.30,59.18,--.--,0,0,0.3,0.3,0.3,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:53.135,3.7,-3.8,61,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.5,5.9,-0.200,-0.285,0.000,0.0,00:00:01,1.7,0,--.--,--.--,--.--,46,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,5.43,7306,--.--,53,--.--,--:--:--,0,--.--,11:57:53,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603973,10TET 48063 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1719.5,1407.2,0.2,0.4,0.0,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.32,59.11,--.--,0,0,0.4,0.4,0.3,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:54.144,0.1,-2.7,67,0.0,0.0,0.0,0.0,0.0,0.000,-0.1,-0.5,5.8,-0.210,-0.292,0.000,0.0,00:00:02,1.7,0,--.--,--.--,--.--,51,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,5.16,7308,--.--,53,--.--,--:--:--,0,--.--,11:57:54,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603897,10TET 48063 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1719.6,1407.1,0.3,0.1,0.0,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.32,59.00,--.--,0,0,0.3,0.4,0.3,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:55.138,-1.2,-2.1,66,0.0,0.0,0.0,0.0,0.0,0.000,0.2,-0.4,5.9,-0.180,-0.245,0.000,0.0,00:00:03,0.9,0,--.--,--.--,--.--,45,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,4.91,7309,--.--,53,--.--,--:--:--,0,--.--,11:57:55,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173820,-122.3603897,10TET 48063 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.3,1407.6,0.2,-0.3,-0.1,-0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.32,58.91,--.--,0,0,0.3,0.3,0.2,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:56.138,3.7,-2.2,56,0.0,0.0,0.0,0.0,0.0,0.000,0.1,-0.4,5.9,-0.180,-0.250,0.000,0.0,00:00:04,0.2,0,--.--,--.--,--.--,47,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,8.50,7311,--.--,53,--.--,--:--:--,0,--.--,11:57:56,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173820,-122.3603820,10TET 48064 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.8,1408.5,0.2,-0.1,-0.0,-0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.34,58.80,--.--,0,0,0.3,0.3,0.3,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:57.142,3.2,-3.0,40,0.0,0.0,0.0,0.0,0.0,0.000,0.1,-0.3,6.1,-0.140,-0.171,0.000,0.0,00:00:05,0.9,0,--.--,--.--,--.--,44,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,5.76,7313,--.--,53,--.--,--:--:--,0,--.--,11:57:57,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603744,10TET 48064 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.8,1409.4,0.0,0.1,0.2,-0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.34,58.69,--.--,0,0,0.2,0.4,0.2,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:58.143,-4.5,0.6,53,0.0,0.0,0.0,0.0,0.0,0.000,-0.0,-0.4,5.9,-0.180,-0.251,0.000,0.0,00:00:07,2.3,0,--.--,--.--,--.--,52,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,5.71,7315,--.--,53,--.--,--:--:--,0,--.--,11:57:58,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173820,-122.3603744,10TET 48064 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.5,1410.9,0.2,-0.1,0.3,0.1,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.36,58.55,--.--,0,0,0.3,0.3,0.2,0,2,0,--.--,--.--,--.--
2022-08-15 11:57:59.142,1.5,-0.4,64,0.0,0.0,0.0,0.0,0.0,0.000,0.2,-0.1,6.2,-0.090,-0.089,0.000,0.0,00:00:07,3.3,0,--.--,277,--.--,36,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,7.45,7316,--.--,53,--.--,--:--:--,0,--.--,11:57:59,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173858,-122.3603668,10TET 48065 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1721.0,1411.8,-0.1,-0.3,0.4,-0.2,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.37,58.46,--.--,0,0,0.3,0.3,0.3,0,2,0,--.--,--.--,--.--
2022-08-15 11:58:00.145,3.2,1.5,62,0.0,0.0,0.0,0.0,0.0,0.000,0.0,-0.2,6.1,-0.120,-0.134,0.000,0.0,00:00:09,4.2,0,--.--,272,--.--,43,0000:00:00,50,0,0,10,30,0,2,--.--,0,0,0,--.--,1.25,7317,--.--,53,--.--,--:--:--,0,--.--,11:58:00,8/15/2022,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,0,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,false,false,false,false,false,false,false,false,false,false,false,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,47.6173820,-122.3603668,10TET 48065 73973,1.0,1.0,0.0,3,10,--.--,--.--,,--.--,--.--,--.--,0,0,--.--,--.--,0,-1720.7,1412.7,-0.0,-0.2,-0.2,-0.0,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,--.--,108.37,58.35,--.--,0,0,0.1,0.1,0.1,0,2,0,--.--,--.--,--.--
