"X","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","HavDIS","EucDIS"
1227,"8/15/2022","10:16:27","00:20:27",-1.5,273,91,47.6196975,-122.3635253,10,56.3,20.45,0,0
1228,"8/15/2022","10:16:28","00:20:28",-1.6,281,90,47.6197013,-122.3635253,10,56.3,20.4666666666667,0.423014065129185,0.42233797348719
1229,"8/15/2022","10:16:29","00:20:29",-1.7,286,90,47.6197013,-122.3635177,10,56.3,20.4833333333333,0.570263932175727,0.571095872691424
1230,"8/15/2022","10:16:30","00:20:30",-1.8,307,90,47.6196899,-122.3635025,10,56.34,20.5,1.70624505341949,1.70585068245346
1231,"8/15/2022","10:16:31","00:20:31",-1.7,319,90,47.6196861,-122.3635025,10,56.34,20.5166666666667,0.423014064421069,0.422337975432056
1232,"8/15/2022","10:16:32","00:20:32",-1.7,326,90,47.6196899,-122.3635025,10,56.34,20.5333333333333,0.423014064421069,0.422337975432056
1233,"8/15/2022","10:16:33","00:20:33",-1.9,325,90,47.6196861,-122.3634948,10,56.35,20.55,0.716069996836503,0.71635145285203
1234,"8/15/2022","10:16:34","00:20:34",-1.8,333,90,47.6196937,-122.3634948,10,56.37,20.5666666666667,0.846028129550254,0.844675949691273
1235,"8/15/2022","10:16:35","00:20:35",-2,331,90,47.6196899,-122.3634872,10,56.37,20.5833333333333,0.710029555596021,0.710295699545064
1236,"8/15/2022","10:16:36","00:20:36",-2,311,90,47.6196899,-122.3634872,10,56.37,20.6,0,0
1237,"8/15/2022","10:16:37","00:20:37",-2,309,90,47.6196861,-122.3634796,10,56.37,20.6166666666667,0.710029586930137,0.710295732305481
1238,"8/15/2022","10:16:38","00:20:38",-2,309,90,47.6196784,-122.3634719,10,56.37,20.6333333333333,1.03370151384127,1.03303766778606
1239,"8/15/2022","10:16:39","00:20:39",-1.4,310,90,47.6196784,-122.3634719,10,56.37,20.65,0,0
1240,"8/15/2022","10:16:40","00:20:40",-1.5,309,90,47.6196708,-122.3634567,10,56.37,20.6666666666667,1.42005940905991,1.42059170007641
1241,"8/15/2022","10:16:41","00:20:41",-1.3,308,90,47.6196708,-122.363449,10,56.35,20.6833333333333,0.577767741845743,0.578610631919356
1242,"8/15/2022","10:16:42","00:20:42",-1.2,310,90,47.6196708,-122.363449,10,56.34,20.7,0,0
1243,"8/15/2022","10:16:43","00:20:43",-1.3,301,90,47.6196594,-122.3634338,10,56.3,20.7166666666667,1.70624549764391,1.70585113205907
1244,"8/15/2022","10:16:44","00:20:44",-1.3,294,90,47.6196556,-122.3634262,10,56.34,20.7333333333333,0.710029854964975,0.710296002311455
1245,"8/15/2022","10:16:45","00:20:45",-1.3,294,90,47.6196479,-122.3634109,10,56.34,20.75,1.43272532108567,1.43324927709072
1246,"8/15/2022","10:16:46","00:20:46",-1.5,297,90,47.6196479,-122.3634109,10,56.34,20.7666666666667,0,0
1247,"8/15/2022","10:16:47","00:20:47",-1.3,297,90,47.6196479,-122.3634033,10,56.34,20.7833333333333,0.570264512723406,0.571096458157721
1248,"8/15/2022","10:16:48","00:20:48",-1.3,297,90,47.6196479,-122.3634033,10,56.35,20.8,0,0
1249,"8/15/2022","10:16:49","00:20:49",-1,297,90,47.6196441,-122.3633956,10,56.37,20.8166666666667,0.716070372872501,0.716351831696398
1250,"8/15/2022","10:16:50","00:20:50",-1.1,299,90,47.6196479,-122.3633956,10,56.41,20.8333333333333,0.423014064421069,0.42233797460219
1251,"8/15/2022","10:16:51","00:20:51",-1.5,303,90,47.6196441,-122.3633804,10,56.43,20.85,1.21644870647534,1.21777425119273
1252,"8/15/2022","10:16:52","00:20:52",-1.3,302,90,47.6196441,-122.3633728,10,56.48,20.8666666666667,0.570264554171631,0.57109650098435
1253,"8/15/2022","10:16:53","00:20:53",-1.4,312,90,47.6196441,-122.3633804,10,56.5,20.8833333333333,0.570264554171631,0.57109650098435
1254,"8/15/2022","10:16:54","00:20:54",-1.1,308,90,47.6196441,-122.3633804,10,56.52,20.9,0,0
1255,"8/15/2022","10:16:55","00:20:55",-1,314,90,47.6196441,-122.3633728,10,56.55,20.9166666666667,0.570264554171631,0.57109650098435
1256,"8/15/2022","10:16:56","00:20:56",-1.1,317,90,47.6196441,-122.3633728,10,56.57,20.9333333333333,0,0
1257,"8/15/2022","10:16:57","00:20:57",-1,317,90,47.6196365,-122.3633575,10,56.59,20.95,1.42609348184223,1.42664110338686
1258,"8/15/2022","10:16:58","00:20:58",-1.3,312,90,47.6196746,-122.3633041,10,56.61,20.9666666666667,5.83466400462444,5.83375765941515
1259,"8/15/2022","10:16:59","00:20:59",-1.1,315,90,47.619667,-122.3633346,10,56.61,20.9833333333333,2.43993297213119,2.44259693578869
1260,"8/15/2022","10:17:00","00:21:00",-0.9,320,90,47.6196556,-122.3633575,10,56.64,21,2.13612060295471,2.13693438466892
1261,"8/15/2022","10:17:01","00:21:01",-1.1,315,90,47.6196517,-122.3633651,10,56.66,21.0166666666667,0.716717729922813,0.716960143954411
1262,"8/15/2022","10:17:02","00:21:02",-0.7,315,90,47.6196479,-122.3633651,10,56.68,21.0333333333333,0.423014065129185,0.422337977830183
1263,"8/15/2022","10:17:03","00:21:03",-1,314,90,47.6196403,-122.3633575,10,56.71,21.05,1.02027704949924,1.01962183203153
