"","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"1","8/15/2022","10:49:12","00:00:00",0,13,80,0,0,0,63.07,0.0166666666666667
"2","8/15/2022","10:49:13","00:00:00",-0.1,12,80,0,0,0,62.76,0.0333333333333333
"3","8/15/2022","10:49:14","00:00:01",-0.2,29,80,0,0,0,62.44,0.05
"4","8/15/2022","10:49:15","00:00:02",-0.5,35,80,0,0,0,62.11,0.0666666666666667
"5","8/15/2022","10:49:16","00:00:03",-0.3,53,80,0,0,0,61.74,0.0833333333333333
"6","8/15/2022","10:49:17","00:00:04",-0.4,60,80,0,0,0,61.43,0.1
"7","8/15/2022","10:49:18","00:00:06",-0.3,55,80,0,0,0,61.12,0.116666666666667
"8","8/15/2022","10:49:19","00:00:06",-0.3,59,80,0,0,0,60.84,0.133333333333333
"9","8/15/2022","10:49:20","00:00:07",-0.2,57,80,0,0,0,60.57,0.15
"10","8/15/2022","10:49:21","00:00:08",-0.3,75,80,0,0,0,60.26,0.166666666666667
"11","8/15/2022","10:49:22","00:00:10",-0.3,71,80,0,0,0,60.01,0.183333333333333
"12","8/15/2022","10:49:23","00:00:11",0.1,68,80,0,0,0,59.76,0.2
"13","8/15/2022","10:49:24","00:00:12",-0.1,66,80,0,0,0,59.58,0.216666666666667
"14","8/15/2022","10:49:25","00:00:13",-0.3,67,80,0,0,0,59.38,0.233333333333333
"15","8/15/2022","10:49:26","00:00:14",-0.4,67,80,0,0,0,59.18,0.25
"16","8/15/2022","10:49:27","00:00:15",-0.1,68,80,0,0,0,59,0.266666666666667
"17","8/15/2022","10:49:28","00:00:16",-0.1,68,80,0,0,0,58.86,0.283333333333333
"18","8/15/2022","10:49:29","00:00:17",-0.1,69,80,0,0,0,58.75,0.3
"19","8/15/2022","10:49:30","00:00:18",-0.3,68,80,0,0,0,58.62,0.316666666666667
"20","8/15/2022","10:49:31","00:00:19",-0.4,69,80,0,0,0,58.51,0.333333333333333
"21","8/15/2022","10:49:32","00:00:20",-0.1,70,80,0,0,0,58.41,0.35
"22","8/15/2022","10:49:33","00:00:21",-0.2,69,80,0,0,0,58.32,0.366666666666667
"23","8/15/2022","10:49:34","00:00:22",-0.2,70,80,0,0,0,58.21,0.383333333333333
"24","8/15/2022","10:49:35","00:00:23",-0.2,70,80,0,0,0,58.1,0.4
"25","8/15/2022","10:49:36","00:00:24",-0.2,70,80,0,0,0,58.06,0.416666666666667
"26","8/15/2022","10:49:37","00:00:25",-0.1,71,80,0,0,0,57.99,0.433333333333333
"27","8/15/2022","10:49:38","00:00:26",-0.1,70,80,0,0,0,57.94,0.45
"28","8/15/2022","10:49:39","00:00:27",-0.2,70,80,0,0,0,57.87,0.466666666666667
"29","8/15/2022","10:49:40","00:00:28",-0.1,70,80,0,0,0,57.81,0.483333333333333
"30","8/15/2022","10:49:41","00:00:29",-0.3,71,80,0,0,0,57.72,0.5
"31","8/15/2022","10:49:42","00:00:30",-0.2,68,80,0,0,0,57.69,0.516666666666667
"32","8/15/2022","10:49:43","00:00:31",-0.3,68,80,0,0,0,57.63,0.533333333333333
"33","8/15/2022","10:49:44","00:00:32",-0.5,68,80,0,0,0,57.58,0.55
"34","8/15/2022","10:49:45","00:00:33",-0.3,66,80,0,0,0,57.51,0.566666666666667
"35","8/15/2022","10:49:46","00:00:34",-0.4,66,80,0,0,0,57.45,0.583333333333333
"36","8/15/2022","10:49:47","00:00:35",-0.3,70,80,0,0,0,57.4,0.6
"37","8/15/2022","10:49:48","00:00:36",-0.2,69,80,0,0,0,57.34,0.616666666666667
"38","8/15/2022","10:49:49","00:00:37",-0.4,70,80,0,0,0,57.27,0.633333333333333
"39","8/15/2022","10:49:50","00:00:38",-0.4,66,80,0,0,0,57.2,0.65
"40","8/15/2022","10:49:51","00:00:39",-0.8,65,80,0,0,0,57.16,0.666666666666667
"41","8/15/2022","10:49:52","00:00:40",-0.7,66,80,0,0,0,57.11,0.683333333333333
"42","8/15/2022","10:49:53","00:00:41",-0.8,73,80,0,0,0,57.06,0.7
"43","8/15/2022","10:49:54","00:00:42",-1,84,80,0,0,0,57.04,0.716666666666667
"44","8/15/2022","10:49:55","00:00:43",-1.1,125,80,0,0,0,56.98,0.733333333333333
"45","8/15/2022","10:49:56","00:00:44",-1.1,130,80,0,0,0,56.97,0.75
"46","8/15/2022","10:49:57","00:00:45",-1.1,104,80,0,0,0,56.93,0.766666666666667
"47","8/15/2022","10:49:58","00:00:46",-1.2,91,80,0,0,0,56.89,0.783333333333333
"48","8/15/2022","10:49:59","00:00:47",-1,83,80,0,0,0,56.82,0.8
"49","8/15/2022","10:50:00","00:00:48",-1.2,71,80,0,0,0,56.8,0.816666666666667
"50","8/15/2022","10:50:01","00:00:49",-1.3,68,80,0,0,0,56.79,0.833333333333333
"51","8/15/2022","10:50:02","00:00:50",-1.1,70,80,0,0,0,56.75,0.85
"52","8/15/2022","10:50:03","00:00:51",-1.1,63,80,0,0,0,56.75,0.866666666666667
"53","8/15/2022","10:50:04","00:00:52",-1,65,80,0,0,0,56.75,0.883333333333333
"54","8/15/2022","10:50:05","00:00:53",-1.2,61,80,0,0,0,56.71,0.9
"55","8/15/2022","10:50:06","00:00:54",-1.1,62,80,0,0,0,56.71,0.916666666666667
