"","date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"1392","8/15/2022","10:19:12","00:23:13",-4.1,185,88,47.6196441,-122.3631515,10,56.21,23.2
"1393","8/15/2022","10:19:13","00:23:14",-4.3,184,88,47.6196441,-122.3631515,10,56.19,23.2166666666667
"1394","8/15/2022","10:19:14","00:23:15",-4.3,197,88,47.6196441,-122.3631439,10,56.19,23.2333333333333
"1395","8/15/2022","10:19:15","00:23:16",-5.1,194,88,47.6196479,-122.3631439,10,56.16,23.25
"1396","8/15/2022","10:19:16","00:23:17",-5.6,188,88,47.6196479,-122.3631515,10,56.16,23.2666666666667
"1397","8/15/2022","10:19:17","00:23:18",-5.7,196,88,47.6196479,-122.3631515,10,56.14,23.2833333333333
"1398","8/15/2022","10:19:18","00:23:19",-5.6,177,88,47.6196479,-122.3631515,10,56.12,23.3
"1399","8/15/2022","10:19:20","00:23:20",-5.3,164,88,47.6196479,-122.3631515,10,56.12,23.3166666666667
"1400","8/15/2022","10:19:21","00:23:21",-5.2,167,88,47.6196517,-122.3631515,10,56.08,23.3333333333333
"1401","8/15/2022","10:19:22","00:23:22",-5.2,167,88,47.6196556,-122.3631591,10,56.07,23.35
"1402","8/15/2022","10:19:23","00:23:23",-5.1,163,88,47.6196556,-122.3631515,10,56.05,23.3666666666667
"1403","8/15/2022","10:19:24","00:23:24",-5,160,88,47.6196556,-122.3631515,10,56.01,23.3833333333333
"1404","8/15/2022","10:19:25","00:23:25",-5.2,163,88,47.6196594,-122.3631591,10,55.99,23.4
"1405","8/15/2022","10:19:26","00:23:26",-5.3,165,88,47.6196594,-122.3631591,10,55.96,23.4166666666667
"1406","8/15/2022","10:19:27","00:23:27",-5.2,141,88,47.6196632,-122.3631591,10,55.96,23.4333333333333
"1407","8/15/2022","10:19:28","00:23:28",-5.3,100,88,47.6196632,-122.3631668,10,55.92,23.45
"1408","8/15/2022","10:19:29","00:23:29",-5.2,76,88,47.6196632,-122.3631744,10,55.92,23.4666666666667
"1409","8/15/2022","10:19:30","00:23:30",-5.3,70,88,47.6196632,-122.3631744,10,55.89,23.4833333333333
"1410","8/15/2022","10:19:31","00:23:31",-5.2,65,88,47.619667,-122.3631744,10,55.83,23.5
"1411","8/15/2022","10:19:32","00:23:32",-5.2,67,88,47.619667,-122.3631744,10,55.81,23.5166666666667
"1412","8/15/2022","10:19:33","00:23:33",-5.2,42,88,47.6196708,-122.3631744,10,55.78,23.5333333333333
"1413","8/15/2022","10:19:34","00:23:34",-5.3,43,88,47.6196746,-122.3631744,10,55.74,23.55
"1414","8/15/2022","10:19:35","00:23:35",-5.3,38,88,47.6196746,-122.3631668,10,55.71,23.5666666666667
"1415","8/15/2022","10:19:36","00:23:36",-5.4,28,88,47.6196746,-122.3631668,10,55.69,23.5833333333333
"1416","8/15/2022","10:19:37","00:23:37",-5.4,37,88,47.6196784,-122.3631668,10,55.67,23.6
"1417","8/15/2022","10:19:38","00:23:38",-5.3,71,88,47.6196823,-122.3631668,10,55.62,23.6166666666667
"1418","8/15/2022","10:19:39","00:23:39",-5.3,94,88,47.6196823,-122.3631668,10,55.6,23.6333333333333
"1419","8/15/2022","10:19:40","00:23:40",-5.4,106,88,47.6196823,-122.3631668,10,55.58,23.65
"1420","8/15/2022","10:19:41","00:23:41",-5.4,114,88,47.6196861,-122.3631668,10,55.56,23.6666666666667
"1421","8/15/2022","10:19:42","00:23:42",-5.2,139,88,47.6196861,-122.3631668,10,55.54,23.6833333333333
"1422","8/15/2022","10:19:43","00:23:43",-5.2,131,88,47.6196861,-122.3631668,10,55.53,23.7
"1423","8/15/2022","10:19:44","00:23:44",-5.4,131,88,47.6196861,-122.3631668,10,55.53,23.7166666666667
"1424","8/15/2022","10:19:45","00:23:45",-5.4,134,88,47.6196861,-122.3631668,10,55.47,23.7333333333333
"1425","8/15/2022","10:19:46","00:23:46",-5.3,137,88,47.6196899,-122.3631668,10,55.47,23.75
"1426","8/15/2022","10:19:47","00:23:47",-5.2,137,88,47.6196899,-122.3631668,10,55.47,23.7666666666667
"1427","8/15/2022","10:19:48","00:23:48",-5.2,137,88,47.6196899,-122.3631668,10,55.47,23.7833333333333
"1428","8/15/2022","10:19:49","00:23:49",-5.3,137,88,47.6196899,-122.3631668,10,55.47,23.8
"1429","8/15/2022","10:19:50","00:23:50",-5.7,138,88,47.6196899,-122.3631668,10,55.45,23.8166666666667
"1430","8/15/2022","10:19:51","00:23:51",-5.6,144,88,47.6196899,-122.3631591,10,55.45,23.8333333333333
"1431","8/15/2022","10:19:52","00:23:52",-5.2,144,88,47.6196899,-122.3631591,10,55.44,23.85
"1432","8/15/2022","10:19:53","00:23:53",-5.2,138,88,47.6196899,-122.3631668,10,55.44,23.8666666666667
"1433","8/15/2022","10:19:54","00:23:54",-5.2,132,88,47.6196899,-122.3631668,10,55.44,23.8833333333333
"1434","8/15/2022","10:19:55","00:23:55",-5.4,102,88,47.6196937,-122.3631668,10,55.4,23.9
"1435","8/15/2022","10:19:56","00:23:56",-5.6,99,88,47.6196937,-122.3631668,10,55.4,23.9166666666667
"1436","8/15/2022","10:19:57","00:23:57",-5.2,102,88,47.6196937,-122.3631668,10,55.4,23.9333333333333
"1437","8/15/2022","10:19:58","00:23:58",-5.2,102,88,47.6196937,-122.3631668,10,55.4,23.95
"1438","8/15/2022","10:19:59","00:23:59",-5.2,102,88,47.6196937,-122.3631668,10,55.4,23.9666666666667
"1439","8/15/2022","10:20:00","00:24:00",-5.3,93,88,47.6197319,-122.3631439,10,55.4,23.9833333333333
