"","time","date","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq","EucDIS","avg_dist","avg_conf","smoothed"
"1","10:21:13","8/15/2022","0:25:13",-4.54152,111,87,47.6196975,-122.3631362,10,55.2,25.2,0,1.48,100,1.48
"2","10:21:14","8/15/2022","0:25:14",-4.60248,111,87,47.6196975,-122.3631362,10,55.2,25.22,0,1.44,100,1.44
"3","10:21:15","8/15/2022","0:25:15",-4.69392,111,87,47.6196975,-122.3631362,10,55.2,25.23,0,1.39,100,1.39
"4","10:21:16","8/15/2022","0:25:16",-4.81584,111,87,47.6196975,-122.3631362,10,55.18,25.25,0,1.33,100,1.33
"5","10:21:17","8/15/2022","0:25:17",-4.90728,111,87,47.6196975,-122.3631362,10,55.18,25.27,0,1.28,100,1.28
"6","10:21:18","8/15/2022","0:25:18",-4.90728,111,87,47.6196975,-122.3631362,10,55.18,25.28,0,1.19,100,1.19
"7","10:21:19","8/15/2022","0:25:19",-4.90728,111,87,47.6196975,-122.3631362,10,55.17,25.3,0,1.16,100,1.16
"8","10:21:20","8/15/2022","0:25:20",-4.90728,112,87,47.6196975,-122.3631362,10,55.17,25.32,0,1.17,100,1.17
"9","10:21:21","8/15/2022","0:25:21",-4.8768,113,87,47.6197013,-122.3631362,10,55.15,25.33,0.42,1.23,100,1.23
"10","10:21:22","8/15/2022","0:25:22",-4.84632,113,87,47.6197013,-122.3631362,10,55.15,25.35,0,1.31,100,1.31
"11","10:21:23","8/15/2022","0:25:23",-4.8768,113,87,47.6197013,-122.3631286,10,55.15,25.37,0.57,1.31,100,1.31
"12","10:21:24","8/15/2022","0:25:24",-4.90728,114,87,47.6196975,-122.3631362,10,55.15,25.38,0.71,1.26,100,1.26
"13","10:21:25","8/15/2022","0:25:25",-4.96824,115,87,47.6196975,-122.3631286,10,55.15,25.4,0.57,1.24,100,1.24
"14","10:21:26","8/15/2022","0:25:26",-4.96824,115,87,47.6197013,-122.3631286,10,55.13,25.42,0.42,1.25,100,1.25
"15","10:21:27","8/15/2022","0:25:27",-4.93776,114,87,47.6197013,-122.3631286,10,55.13,25.43,0,1.23,100,1.23
"16","10:21:28","8/15/2022","0:25:28",-4.90728,113,87,47.6197013,-122.3631362,10,55.13,25.45,0.57,1.24,100,1.24
"17","10:21:29","8/15/2022","0:25:29",-4.90728,114,87,47.6196975,-122.3631362,10,55.13,25.47,0.42,1.24,100,1.24
"18","10:21:30","8/15/2022","0:25:30",-4.8768,114,87,47.6196975,-122.3631362,10,55.11,25.48,0,1.25,100,1.25
"19","10:21:31","8/15/2022","0:25:31",-4.93776,113,87,47.6196975,-122.3631286,10,55.11,25.5,0.57,1.25,100,1.25
"20","10:21:32","8/15/2022","0:25:32",-4.96824,113,87,47.6196975,-122.3631362,10,55.11,25.52,0.57,1.18,100,1.18
"21","10:21:33","8/15/2022","0:25:33",-4.96824,113,87,47.6196975,-122.3631286,10,55.09,25.53,0.57,1.15,100,1.15
"22","10:21:34","8/15/2022","0:25:34",-4.96824,113,87,47.6196937,-122.3631439,10,55.09,25.55,1.22,1.12,100,1.12
"23","10:21:35","8/15/2022","0:25:35",-4.96824,112,87,47.6196937,-122.3631439,10,55.08,25.57,0,1.09,100,1.09
"24","10:21:36","8/15/2022","0:25:36",-4.93776,112,87,47.6196899,-122.3631362,10,55.08,25.58,0.72,1.08,100,1.08
"25","10:21:37","8/15/2022","0:25:37",-4.90728,112,87,47.6196899,-122.3631439,10,55.08,25.6,0.58,1.05,100,1.05
"26","10:21:38","8/15/2022","0:25:38",-4.90728,112,87,47.6196899,-122.3631439,10,55.06,25.62,0,1.03,100,1.03
"27","10:21:39","8/15/2022","0:25:39",-4.90728,112,87,47.6196899,-122.3631439,10,55.02,25.63,0,1.03,100,1.03
"28","10:21:40","8/15/2022","0:25:40",-4.90728,112,87,47.6196899,-122.3631439,10,55.02,25.65,0,1.04,100,1.04
"29","10:21:41","8/15/2022","0:25:41",-4.90728,112,87,47.6196899,-122.3631362,10,55.02,25.67,0.58,1,100,1
"30","10:21:42","8/15/2022","0:25:42",-4.93776,112,87,47.6196861,-122.3631439,10,55.02,25.68,0.72,0.96,100,0.96
"31","10:21:43","8/15/2022","0:25:43",-4.93776,112,87,47.6196861,-122.3631439,10,55.02,25.7,0,0.91,100,0.91
"32","10:21:44","8/15/2022","0:25:44",-4.90728,112,87,47.6196861,-122.3631439,10,55.02,25.72,0,0.9,100,0.9
"33","10:21:45","8/15/2022","0:25:45",-4.93776,112,87,47.6196823,-122.3631439,10,55.02,25.73,0.42,0.87,100,0.87
"34","10:21:46","8/15/2022","0:25:46",-4.8768,112,87,47.6196823,-122.3631515,10,55,25.75,0.57,0.85,100,0.85
"35","10:21:47","8/15/2022","0:25:47",-4.84632,113,87,47.6196823,-122.3631439,10,55,25.77,0.57,0.86,100,0.86
"36","10:21:48","8/15/2022","0:25:48",-4.81584,111,87,47.6196784,-122.3631439,10,55,25.78,0.43,0.87,100,0.87
"37","10:21:49","8/15/2022","0:25:49",-4.84632,111,87,47.6196937,-122.3631896,10,55,25.8,3.83,0.85,100,0.85
"38","10:21:50","8/15/2022","0:25:50",-4.8768,112,87,47.6196823,-122.3631591,10,54.99,25.82,2.62,0.83,100,0.83
"39","10:21:51","8/15/2022","0:25:51",-4.84632,112,87,47.6196784,-122.3631515,10,54.99,25.83,0.72,0.81,100,0.81
"40","10:21:52","8/15/2022","0:25:52",-4.78536,114,87,47.6196784,-122.3631439,10,54.99,25.85,0.57,0.82,100,0.82
"41","10:21:53","8/15/2022","0:25:53",-4.78536,114,87,47.6196746,-122.3631515,10,54.99,25.87,0.71,0.8,100,0.8
"42","10:21:54","8/15/2022","0:25:54",-4.75488,115,87,47.6196708,-122.3631439,10,54.99,25.88,0.71,0.78,100,0.78
"43","10:21:55","8/15/2022","0:25:55",-4.7244,114,87,47.6196708,-122.3631439,10,54.95,25.9,0,0.79,96.81,0.79
"44","10:21:56","8/15/2022","0:25:56",-4.66344,114,87,47.6196708,-122.3631439,10,54.95,25.92,0,0.81,100,0.81
"45","10:21:57","8/15/2022","0:25:57",-4.66344,114,87,47.6196708,-122.3631439,10,54.95,25.93,0,0.84,100,0.84
"46","10:21:58","8/15/2022","0:25:58",-4.63296,115,87,47.6196708,-122.3631439,10,54.95,25.95,0,0.86,100,0.86
"47","10:21:59","8/15/2022","0:25:59",-4.60248,115,87,47.6196708,-122.3631515,10,54.95,25.97,0.57,0.85,100,0.85
"48","10:22:00","8/15/2022","0:26:00",-4.60248,115,87,47.619667,-122.3631515,10,54.95,25.98,0.42,0.86,100,0.86
"49","10:22:01","8/15/2022","0:26:01",-4.69392,115,87,47.619667,-122.3631515,10,54.95,26,0,0.82,100,0.82
"50","10:22:02","8/15/2022","0:26:02",-4.69392,116,87,47.619667,-122.3631439,10,54.95,26.02,0.57,0.79,100,0.79
"51","10:22:03","8/15/2022","0:26:03",-4.66344,119,87,47.619667,-122.3631439,10,54.95,26.03,0,0.8,100,0.8
"52","10:22:04","8/15/2022","0:26:04",-4.60248,118,87,47.619667,-122.3631439,10,54.95,26.05,0,0.8,100,0.8
"53","10:22:05","8/15/2022","0:26:05",-4.60248,114,87,47.619667,-122.3631439,10,54.95,26.07,0,0.8,100,0.8
"54","10:22:06","8/15/2022","0:26:06",-4.66344,118,87,47.619667,-122.3631439,10,54.95,26.08,0,0.78,97.73,0.78
"55","10:22:07","8/15/2022","0:26:07",-4.69392,119,87,47.619667,-122.3631439,10,54.95,26.1,0,0.73,68.47,0.73
"56","10:22:08","8/15/2022","0:26:08",-4.69392,119,87,47.619667,-122.3631362,10,54.95,26.12,0.58,0.71,83,0.71
"57","10:22:09","8/15/2022","0:26:09",-4.63296,118,87,47.619667,-122.3631362,10,54.95,26.13,0,0.76,100,0.76
"58","10:22:10","8/15/2022","0:26:10",-4.572,118,87,47.619667,-122.3631439,10,54.95,26.15,0.58,0.8,100,0.8
"59","10:22:11","8/15/2022","0:26:11",-4.63296,118,87,47.619667,-122.3631362,10,54.95,26.17,0.58,0.8,100,0.8
"60","10:22:12","8/15/2022","0:26:12",-4.66344,119,87,47.619667,-122.3631362,10,54.95,26.18,0,0.75,90.93,0.75
"61","10:22:13","8/15/2022","0:26:13",-4.66344,120,87,47.6196632,-122.3631439,10,54.95,26.2,0.72,0.73,80.73,0.73
"62","10:22:14","8/15/2022","0:26:14",-4.60248,121,87,47.619667,-122.3631439,10,54.95,26.22,0.42,0.74,100,0.74
"63","10:22:15","8/15/2022","0:26:15",-4.572,119,87,47.619667,-122.3631439,10,54.95,26.23,0,0.79,100,0.79
"64","10:22:16","8/15/2022","0:26:16",-4.54152,119,87,47.6196632,-122.3631439,10,54.95,26.25,0.42,0.82,100,0.82
"65","10:22:17","8/15/2022","0:26:17",-4.60248,119,87,47.6196632,-122.3631439,10,54.95,26.27,0,0.8,100,0.8
"66","10:22:18","8/15/2022","0:26:18",-4.66344,119,87,47.6196632,-122.3631439,10,54.95,26.28,0,0.77,100,0.77
"67","10:22:19","8/15/2022","0:26:19",-4.66344,120,87,47.6196632,-122.3631439,10,54.95,26.3,0,0.73,100,0.73
"68","10:22:20","8/15/2022","0:26:20",-4.60248,119,87,47.6196632,-122.3631439,10,54.95,26.32,0,0.74,100,0.74
"69","10:22:21","8/15/2022","0:26:21",-4.54152,119,87,47.6196594,-122.3631439,10,54.95,26.33,0.42,0.76,100,0.76
"70","10:22:22","8/15/2022","0:26:22",-4.48056,119,87,47.6196594,-122.3631439,10,54.95,26.35,0,0.79,100,0.79
"71","10:22:23","8/15/2022","0:26:23",-4.48056,118,87,47.6196594,-122.3631439,10,54.95,26.37,0,0.83,100,0.83
"72","10:22:24","8/15/2022","0:26:24",-4.54152,119,87,47.6196594,-122.3631362,10,54.95,26.38,0.58,0.82,100,0.82
"73","10:22:25","8/15/2022","0:26:25",-4.54152,120,87,47.6196556,-122.3631439,10,54.95,26.4,0.72,0.79,100,0.79
"74","10:22:26","8/15/2022","0:26:26",-4.48056,120,87,47.6196556,-122.3631439,10,54.95,26.42,0,0.77,100,0.77
"75","10:22:27","8/15/2022","0:26:27",-4.35864,120,87,47.6196556,-122.3631439,10,54.95,26.43,0,0.82,100,0.82
"76","10:22:28","8/15/2022","0:26:28",-4.29768,119,87,47.6196556,-122.3631439,10,54.95,26.45,0,0.91,100,0.91
