"date","time","flight_time","depth","heading","battery_remaining","lat","lon","satellite_count","temp","seq"
"8/15/2022","09:47:36","00:00:06",-0.2,299,98,47.6197395,-122.3632507,10,62.94,0.866666666666667
"8/15/2022","09:47:37","00:00:06",0.1,298,98,47.6197395,-122.3632507,10,62.92,0.883333333333333
"8/15/2022","09:47:38","00:00:06",-0.2,296,98,47.6197395,-122.3632507,10,62.92,0.9
"8/15/2022","09:47:39","00:00:06",0,296,98,47.6197395,-122.3632507,10,62.92,0.916666666666667
"8/15/2022","09:47:40","00:00:06",0.2,297,98,47.6197395,-122.3632507,10,62.92,0.933333333333333
"8/15/2022","09:47:41","00:00:06",-0.2,295,98,47.6197395,-122.3632507,10,62.92,0.95
"8/15/2022","09:47:42","00:00:06",-0.2,295,98,47.6197395,-122.3632507,10,62.92,0.966666666666667
"8/15/2022","09:47:43","00:00:06",0.2,291,98,47.6197395,-122.3632507,10,62.92,0.983333333333333
"8/15/2022","09:47:44","00:00:06",-0.1,290,98,47.6197395,-122.3632507,10,62.92,1
"8/15/2022","09:47:45","00:00:06",-0.1,287,98,47.6197395,-122.3632507,10,62.92,1.01666666666667
"8/15/2022","09:47:46","00:00:06",0,286,98,47.6197395,-122.3632507,10,62.92,1.03333333333333
"8/15/2022","09:47:47","00:00:06",-0.2,286,98,47.6197395,-122.3632507,10,62.92,1.05
"8/15/2022","09:47:48","00:00:06",-0.2,284,98,47.6197395,-122.3632507,10,62.92,1.06666666666667
"8/15/2022","09:47:49","00:00:06",0.3,284,98,47.6197395,-122.3632507,10,62.91,1.08333333333333
"8/15/2022","09:47:50","00:00:06",-0.2,284,98,47.6197395,-122.3632507,10,62.92,1.1
"8/15/2022","09:47:51","00:00:06",-0.1,284,98,47.6197395,-122.3632507,10,62.92,1.11666666666667
"8/15/2022","09:47:52","00:00:06",0,283,98,47.6197395,-122.3632507,10,62.92,1.13333333333333
"8/15/2022","09:47:53","00:00:06",-0.1,284,98,47.6197395,-122.3632507,10,62.92,1.15
"8/15/2022","09:47:54","00:00:06",-0.1,287,98,47.6197395,-122.3632507,10,62.92,1.16666666666667
"8/15/2022","09:47:55","00:00:06",0.1,286,98,47.6197395,-122.3632507,10,62.92,1.18333333333333
"8/15/2022","09:47:56","00:00:06",-0.2,286,98,47.6197395,-122.3632507,10,62.92,1.2
"8/15/2022","09:47:57","00:00:06",-0.1,286,98,47.6197395,-122.3632507,10,62.91,1.21666666666667
"8/15/2022","09:47:58","00:00:06",0,286,98,47.6197395,-122.3632507,10,62.92,1.23333333333333
"8/15/2022","09:47:59","00:00:06",0,356,98,47.6197395,-122.3632507,10,62.92,1.25
"8/15/2022","09:48:00","00:00:06",-0.1,23,98,47.6197395,-122.3632507,10,62.91,1.26666666666667
"8/15/2022","09:48:01","00:00:06",-0.3,20,98,47.6197395,-122.3632507,10,62.92,1.28333333333333
"8/15/2022","09:48:02","00:00:06",0,20,98,47.6197395,-122.3632507,10,62.92,1.3
"8/15/2022","09:48:03","00:00:06",0.2,8,98,47.6197395,-122.3632507,10,62.92,1.31666666666667
"8/15/2022","09:48:04","00:00:06",-0.1,355,98,47.6197395,-122.3632507,10,62.92,1.33333333333333
"8/15/2022","09:48:05","00:00:06",-0.3,351,98,47.6197395,-122.3632507,10,62.92,1.35
"8/15/2022","09:48:06","00:00:06",0,353,98,47.6197395,-122.3632507,10,62.92,1.36666666666667
"8/15/2022","09:48:07","00:00:06",-0.1,311,98,47.6197395,-122.3632507,10,62.92,1.38333333333333
"8/15/2022","09:48:08","00:00:06",0.1,327,98,47.6197395,-122.3632507,10,62.92,1.4
"8/15/2022","09:48:09","00:00:06",0,327,98,47.6197395,-122.3632507,10,62.92,1.41666666666667
"8/15/2022","09:48:10","00:00:06",-0.2,327,98,47.6197395,-122.3632507,10,62.94,1.43333333333333
"8/15/2022","09:48:11","00:00:06",0,327,98,47.6197395,-122.3632507,10,62.94,1.45
"8/15/2022","09:48:12","00:00:06",0.1,328,98,47.6197395,-122.3632507,10,62.92,1.46666666666667
"8/15/2022","09:48:13","00:00:06",-0.2,352,98,47.6197395,-122.3632507,10,62.92,1.48333333333333
"8/15/2022","09:48:14","00:00:06",0.1,353,98,47.6197395,-122.3632507,10,62.92,1.5
"8/15/2022","09:48:15","00:00:06",0,353,98,47.6197395,-122.3632507,10,62.92,1.51666666666667
"8/15/2022","09:48:16","00:00:06",-0.3,354,98,47.6197395,-122.3632507,10,62.94,1.53333333333333
"8/15/2022","09:48:17","00:00:06",0,355,98,47.6197395,-122.3632507,10,62.92,1.55
"8/15/2022","09:48:18","00:00:06",0,356,98,47.6197395,-122.3632507,10,62.92,1.56666666666667
"8/15/2022","09:48:19","00:00:06",-0.2,356,98,47.6197395,-122.3632507,10,62.92,1.58333333333333
"8/15/2022","09:48:20","00:00:06",0.1,357,98,47.6197395,-122.3632507,10,62.94,1.6
"8/15/2022","09:48:21","00:00:06",-0.2,358,98,47.6197395,-122.3632507,10,62.94,1.61666666666667
"8/15/2022","09:48:22","00:00:06",0,358,98,47.6197395,-122.3632507,10,62.94,1.63333333333333
"8/15/2022","09:48:23","00:00:06",0.1,329,98,47.6197395,-122.3632507,10,62.92,1.65
"8/15/2022","09:48:24","00:00:06",-0.2,329,98,47.6197395,-122.3632507,10,62.92,1.66666666666667
"8/15/2022","09:48:25","00:00:06",-0.1,329,98,47.6197395,-122.3632507,10,62.92,1.68333333333333
"8/15/2022","09:48:26","00:00:06",0.2,329,98,47.6197395,-122.3632507,10,62.92,1.7
"8/15/2022","09:48:27","00:00:06",-0.1,348,98,47.6197395,-122.3632507,10,62.92,1.71666666666667
"8/15/2022","09:48:28","00:00:06",-0.1,358,98,47.6197395,-122.3632507,10,62.94,1.73333333333333
"8/15/2022","09:48:29","00:00:06",0,9,98,47.6197395,-122.3632507,10,62.92,1.75
"8/15/2022","09:48:30","00:00:06",-0.2,10,98,47.6197395,-122.3632507,10,62.92,1.76666666666667
"8/15/2022","09:48:31","00:00:06",0.1,9,98,47.6197395,-122.3632507,10,62.92,1.78333333333333
"8/15/2022","09:48:32","00:00:06",0.1,8,98,47.6197395,-122.3632507,10,62.92,1.8
"8/15/2022","09:48:33","00:00:06",-0.3,9,98,47.6197395,-122.3632507,10,62.92,1.81666666666667
"8/15/2022","09:48:34","00:00:06",0,9,98,47.6197395,-122.3632507,10,62.92,1.83333333333333
"8/15/2022","09:48:35","00:00:06",-0.1,11,98,47.6197395,-122.3632507,10,62.92,1.85
"8/15/2022","09:48:36","00:00:06",0,11,98,47.6197395,-122.3632507,10,62.92,1.86666666666667
"8/15/2022","09:48:37","00:00:06",0.2,11,98,47.6197395,-122.3632507,10,62.92,1.88333333333333
"8/15/2022","09:48:38","00:00:06",-0.3,13,98,47.6197395,-122.3632507,10,62.92,1.9
